sample pop
19-23126 Pool04_MN
19-23127 Pool04_MN
19-23128 Pool04_MN
19-23129 Pool04_MN
19-23130 Pool04_MN
19-23131 Pool04_MN
19-23136 Pool04_MN
19-23140 Pool04_MN
19-23143 Pool04_MN
19-23144 Pool04_MN
19-23145 Pool04_MN
19-23146 Pool04_MN
19-23147 Pool04_MN
19-23148 Pool04_MN
19-23151 Pool04_MN
19-23152 Pool04_MN
19-23161 Pool04_MN
19-23162 Pool04_MN
19-23163 Pool04_MN
19-23166 Pool04_MN
19-23252 Pool04_MN
19-23253 Pool04_MN
19-23254 Pool04_MN
19-23255 Pool04_MN
19-23292 Pool04_MN
19-23299 Pool04_MN
19-23300 Pool04_MN
19-23301 Pool04_MN
19-23303 Pool04_MN
19-23304 Pool04_MN
19-23305 Pool04_MN
19-23306 Pool04_MN
19-23307 Pool04_MN
19-23308 Pool04_MN
19-23309 Pool04_MN
19-23310 Pool04_MN
19-23312 Pool04_MN
19-23313 Pool04_MN
19-23314 Pool04_MN
19-23315 Pool04_MN
19-23316 Pool04_MN
19-23317 Pool04_MN
19-23318 Pool04_MN
19-23319 Pool04_MN
19-23382 Pool08_WI
19-23383 Pool08_WI
19-23384 Pool08_WI
19-23385 Pool08_WI
19-23386 Pool08_WI
19-23387 Pool08_WI
19-23388 Pool08_WI
19-23389 Pool08_WI
19-23390 Pool08_WI
19-23391 Pool08_WI
19-23392 Pool08_WI
19-23393 Pool08_WI
19-23394 Pool08_WI
19-23395 Pool08_WI
19-23396 Pool08_WI
19-23397 Pool08_WI
19-23398 Pool08_WI
19-23399 Pool08_WI
19-23400 Pool08_WI
19-23401 Pool08_WI
19-23427 Pool08_WI
19-23428 Pool08_WI
19-23430 Pool08_WI
19-23437 Pool08_WI
19-23445 Pool08_WI
19-23446 Pool08_WI
19-23453 Pool08_WI
19-23454 Pool08_WI
19-23455 Pool08_WI
19-23457 Pool08_WI
19-23458 Pool08_WI
19-23459 Pool08_WI
19-23460 Pool08_WI
19-23461 Pool08_WI
19-23463 Pool08_WI
19-23465 Pool08_WI
19-23466 Pool08_WI
19-23467 Pool08_WI
19-23468 Pool08_WI
19-23469 Pool08_WI
19-23470 Pool08_WI
