sample pop
19-23141 Pool04_MN
19-23164 Pool04_MN
19-23165 Pool04_MN
19-23223 Pool04_MN
19-23224 Pool04_MN
19-23225 Pool04_MN
19-23226 Pool04_MN
19-23227 Pool04_MN
19-23228 Pool04_MN
19-23229 Pool04_MN
19-23240 Pool04_MN
19-23241 Pool04_MN
19-23322 Pool04_MN
19-23324 Pool04_MN
19-23325 Pool04_MN
19-23326 Pool04_MN
19-23327 Pool04_MN
19-23328 Pool04_MN
19-23330 Pool04_MN
19-23331 Pool04_MN
19-23332 Pool04_MN
19-23333 Pool04_MN
19-23334 Pool04_MN
19-23335 Pool04_MN
19-23336 Pool04_MN
19-23337 Pool04_MN
19-23338 Pool04_MN
19-23339 Pool04_MN
19-23341 Pool04_MN
19-23342 Pool04_MN
19-23343 Pool04_MN
19-23344 Pool04_MN
19-23345 Pool04_MN
19-23346 Pool04_MN
19-23347 Pool04_MN
19-23348 Pool04_MN
19-23365 Pool04_MN
19-23366 Pool04_MN
19-23368 Pool04_MN
19-23369 Pool04_MN
19-23370 Pool04_MN
19-25028 Pool04_MN
19-25029 Pool04_MN
19-25031 Pool04_MN
19-23500 Pool08_WI
19-23501 Pool08_WI
19-23521 Pool08_WI
19-23522 Pool08_WI
19-23543 Pool08_WI
19-23545 Pool08_WI
19-23554 Pool08_WI
19-23557 Pool08_WI
19-23563 Pool08_WI
19-23564 Pool08_WI
19-23566 Pool08_WI
19-23568 Pool08_WI
19-23576 Pool08_WI
19-23578 Pool08_WI
19-23579 Pool08_WI
19-23580 Pool08_WI
19-23581 Pool08_WI
19-23582 Pool08_WI
19-23583 Pool08_WI
19-23584 Pool08_WI
19-23585 Pool08_WI
19-23586 Pool08_WI
19-23587 Pool08_WI
19-23588 Pool08_WI
19-23590 Pool08_WI
19-23591 Pool08_WI
19-23592 Pool08_WI
19-23597 Pool08_WI
19-23728 Pool13_IA
19-23729 Pool13_IA
19-23730 Pool13_IA
19-23746 Pool13_IA
19-23747 Pool13_IA
19-23748 Pool13_IA
19-23749 Pool13_IA
19-23750 Pool13_IA
19-23751 Pool13_IA
19-23752 Pool13_IA
19-23753 Pool13_IA
19-23754 Pool13_IA
19-23755 Pool13_IA
19-23756 Pool13_IA
19-23757 Pool13_IA
19-23758 Pool13_IA
19-23759 Pool13_IA
19-23760 Pool13_IA
19-23761 Pool13_IA
19-23839 Pool13_IA
19-23840 Pool13_IA
19-23841 Pool13_IA
19-23844 Pool13_IA
19-23845 Pool13_IA
19-23846 Pool13_IA
19-23847 Pool13_IA
19-23848 Pool13_IA
19-23849 Pool13_IA
19-23850 Pool13_IA
19-23851 Pool13_IA
19-23852 Pool13_IA
19-23853 Pool13_IA
19-23858 Pool13_IA
19-23859 Pool13_IA
19-23860 Pool13_IA
19-23861 Pool13_IA
19-23862 Pool13_IA
19-23863 Pool13_IA
19-23868 Pool13_IA
19-23869 Pool13_IA
19-23870 Pool13_IA
19-23871 Pool13_IA
19-23872 Pool13_IA
19-23873 Pool13_IA
19-23874 Pool13_IA
19-23875 Pool13_IA
19-24047 Pool26_IL
19-24048 Pool26_IL
19-24049 Pool26_IL
19-24050 Pool26_IL
19-24051 Pool26_IL
19-24052 Pool26_IL
19-24053 Pool26_IL
19-24054 Pool26_IL
19-24055 Pool26_IL
19-24056 Pool26_IL
19-24057 Pool26_IL
19-24058 Pool26_IL
19-24059 Pool26_IL
19-24060 Pool26_IL
19-24061 Pool26_IL
19-24062 Pool26_IL
19-24063 Pool26_IL
19-24064 Pool26_IL
19-24065 Pool26_IL
19-24066 Pool26_IL
19-24067 Pool26_IL
19-24205 Pool26_IL
19-24206 Pool26_IL
19-24207 Pool26_IL
19-24208 Pool26_IL
19-24209 Pool26_IL
19-24210 Pool26_IL
19-24211 Pool26_IL
19-24212 Pool26_IL
19-24213 Pool26_IL
19-24214 Pool26_IL
19-24215 Pool26_IL
19-24216 Pool26_IL
19-24217 Pool26_IL
19-24218 Pool26_IL
19-24219 Pool26_IL
19-24220 Pool26_IL
19-24221 Pool26_IL
19-24222 Pool26_IL
19-24223 Pool26_IL
19-24224 Pool26_IL
19-24225 Pool26_IL
19-24226 Pool26_IL
19-24227 Pool26_IL
19-24228 Pool26_IL
19-24230 Pool26_IL
19-24362 OR_MO
19-24363 OR_MO
19-24364 OR_MO
19-24365 OR_MO
19-24367 OR_MO
19-24368 OR_MO
19-24369 OR_MO
19-24370 OR_MO
19-24371 OR_MO
19-24390 OR_MO
19-24391 OR_MO
19-24392 OR_MO
19-24393 OR_MO
19-24401 OR_MO
19-24402 OR_MO
19-24403 OR_MO
19-24498 OR_MO
19-24499 OR_MO
19-24500 OR_MO
19-24501 OR_MO
19-24502 OR_MO
19-24555 OR_MO
19-24556 OR_MO
19-24557 OR_MO
19-24558 OR_MO
19-24559 OR_MO
19-24560 OR_MO
19-24561 OR_MO
19-24590 OR_MO
19-24591 OR_MO
19-24592 OR_MO
19-24593 OR_MO
19-24594 OR_MO
19-24595 OR_MO
19-24596 OR_MO
19-24597 OR_MO
19-24598 OR_MO
19-24628 OR_MO
19-24629 OR_MO
19-24640 OR_MO
19-24641 OR_MO
19-24643 OR_MO
19-24644 OR_MO
19-24645 OR_MO
19-24798 LG_IL
19-24799 LG_IL
19-24802 LG_IL
19-24803 LG_IL
19-24804 LG_IL
19-24805 LG_IL
19-24806 LG_IL
19-24807 LG_IL
19-24808 LG_IL
19-24809 LG_IL
19-24810 LG_IL
19-24811 LG_IL
19-24812 LG_IL
19-24813 LG_IL
19-24814 LG_IL
19-24815 LG_IL
19-24816 LG_IL
19-24817 LG_IL
19-24818 LG_IL
19-24819 LG_IL
19-24820 LG_IL
19-24821 LG_IL
19-24822 LG_IL
19-24823 LG_IL
19-24824 LG_IL
19-24825 LG_IL
19-24826 LG_IL
