sample pop
19-23182 Pool04_MN
19-23183 Pool04_MN
19-23184 Pool04_MN
19-23185 Pool04_MN
19-23186 Pool04_MN
19-23187 Pool04_MN
19-23188 Pool04_MN
19-23189 Pool04_MN
19-23190 Pool04_MN
19-23191 Pool04_MN
19-23192 Pool04_MN
19-23193 Pool04_MN
19-23194 Pool04_MN
19-23195 Pool04_MN
19-23196 Pool04_MN
19-23197 Pool04_MN
19-23199 Pool04_MN
19-23200 Pool04_MN
19-23201 Pool04_MN
19-23202 Pool04_MN
19-23203 Pool04_MN
19-23204 Pool04_MN
19-23205 Pool04_MN
19-23207 Pool04_MN
19-23209 Pool04_MN
19-23210 Pool04_MN
19-23211 Pool04_MN
19-23245 Pool04_MN
19-23246 Pool04_MN
19-23249 Pool04_MN
19-23251 Pool04_MN
19-23283 Pool04_MN
19-23286 Pool04_MN
19-23287 Pool04_MN
19-23288 Pool04_MN
19-23289 Pool04_MN
19-23378 Pool08_WI
19-23379 Pool08_WI
19-23381 Pool08_WI
19-23402 Pool08_WI
19-23403 Pool08_WI
19-23406 Pool08_WI
19-23407 Pool08_WI
19-23408 Pool08_WI
19-23418 Pool08_WI
19-23419 Pool08_WI
19-23425 Pool08_WI
19-23429 Pool08_WI
19-23433 Pool08_WI
19-23438 Pool08_WI
19-23439 Pool08_WI
19-23442 Pool08_WI
19-23444 Pool08_WI
19-23456 Pool08_WI
19-23472 Pool08_WI
19-23473 Pool08_WI
19-23476 Pool08_WI
19-23477 Pool08_WI
19-23478 Pool08_WI
19-23479 Pool08_WI
19-23485 Pool08_WI
19-23636 Pool08_WI
19-23651 Pool08_WI
19-23652 Pool08_WI
19-23653 Pool08_WI
19-23654 Pool08_WI
19-23658 Pool08_WI
19-23659 Pool08_WI
19-23660 Pool08_WI
19-23702 Pool13_IA
19-23703 Pool13_IA
19-23704 Pool13_IA
19-23705 Pool13_IA
19-23713 Pool13_IA
19-23715 Pool13_IA
19-23717 Pool13_IA
19-23718 Pool13_IA
19-23719 Pool13_IA
19-23722 Pool13_IA
19-23723 Pool13_IA
19-23764 Pool13_IA
19-23765 Pool13_IA
19-23766 Pool13_IA
19-23768 Pool13_IA
19-23806 Pool13_IA
19-23933 Pool13_IA
19-23934 Pool13_IA
19-23936 Pool13_IA
19-23996 Pool26_IL
19-23997 Pool26_IL
19-23998 Pool26_IL
19-24041 Pool26_IL
19-24046 Pool26_IL
19-24068 Pool26_IL
19-24069 Pool26_IL
19-24070 Pool26_IL
19-24078 Pool26_IL
19-24079 Pool26_IL
19-24080 Pool26_IL
19-24081 Pool26_IL
19-24082 Pool26_IL
19-24088 Pool26_IL
19-24089 Pool26_IL
19-24090 Pool26_IL
19-24091 Pool26_IL
19-24096 Pool26_IL
19-24097 Pool26_IL
19-24098 Pool26_IL
19-24143 Pool26_IL
19-24146 Pool26_IL
19-24147 Pool26_IL
19-24148 Pool26_IL
19-24149 Pool26_IL
19-24150 Pool26_IL
19-24151 Pool26_IL
19-24181 Pool26_IL
19-24182 Pool26_IL
19-24183 Pool26_IL
19-24184 Pool26_IL
19-24185 Pool26_IL
19-24186 Pool26_IL
19-24187 Pool26_IL
19-24188 Pool26_IL
19-24191 Pool26_IL
19-24192 Pool26_IL
19-24193 Pool26_IL
19-24239 Pool26_IL
19-24240 Pool26_IL
19-24404 OR_MO
19-24406 OR_MO
19-24407 OR_MO
19-24413 OR_MO
19-24424 OR_MO
19-24426 OR_MO
19-24429 OR_MO
19-24443 OR_MO
19-24445 OR_MO
19-24446 OR_MO
19-24447 OR_MO
19-24449 OR_MO
19-24450 OR_MO
19-24452 OR_MO
19-24453 OR_MO
19-24454 OR_MO
19-24477 OR_MO
19-24485 OR_MO
19-24675 LG_IL
19-24682 LG_IL
19-24683 LG_IL
19-24685 LG_IL
19-24686 LG_IL
19-24687 LG_IL
19-24688 LG_IL
19-24689 LG_IL
19-24690 LG_IL
19-24691 LG_IL
19-24693 LG_IL
19-24694 LG_IL
19-24696 LG_IL
19-24697 LG_IL
19-24741 LG_IL
19-24742 LG_IL
19-24743 LG_IL
19-24744 LG_IL
19-24745 LG_IL
19-24747 LG_IL
19-24748 LG_IL
19-24749 LG_IL
19-24750 LG_IL
19-24752 LG_IL
19-24757 LG_IL
19-24758 LG_IL
19-24759 LG_IL
19-24760 LG_IL
19-24773 LG_IL
19-24774 LG_IL
19-24775 LG_IL
19-24777 LG_IL
19-24781 LG_IL
