sample pop
19-23134 Pool04_MN
19-23158 Pool04_MN
19-23160 Pool04_MN
19-23215 Pool04_MN
19-23216 Pool04_MN
19-23217 Pool04_MN
19-23218 Pool04_MN
19-23219 Pool04_MN
19-23222 Pool04_MN
19-23235 Pool04_MN
19-23236 Pool04_MN
19-23237 Pool04_MN
19-23281 Pool04_MN
19-23282 Pool04_MN
19-23285 Pool04_MN
19-23293 Pool04_MN
19-23329 Pool04_MN
19-23354 Pool04_MN
19-23355 Pool04_MN
19-23357 Pool04_MN
19-23367 Pool04_MN
19-23371 Pool04_MN
19-23372 Pool04_MN
19-23404 Pool08_WI
19-23523 Pool08_WI
19-23524 Pool08_WI
19-23525 Pool08_WI
19-23526 Pool08_WI
19-23527 Pool08_WI
19-23528 Pool08_WI
19-23529 Pool08_WI
19-23530 Pool08_WI
19-23535 Pool08_WI
19-23536 Pool08_WI
19-23538 Pool08_WI
19-23539 Pool08_WI
19-23540 Pool08_WI
19-23541 Pool08_WI
19-23542 Pool08_WI
19-23549 Pool08_WI
19-23550 Pool08_WI
19-23551 Pool08_WI
19-23552 Pool08_WI
19-23553 Pool08_WI
19-23555 Pool08_WI
19-23558 Pool08_WI
19-23569 Pool08_WI
19-23570 Pool08_WI
19-23572 Pool08_WI
19-23573 Pool08_WI
19-23574 Pool08_WI
19-23575 Pool08_WI
19-23577 Pool08_WI
19-23596 Pool08_WI
19-23677 Pool08_WI
19-23678 Pool08_WI
19-23679 Pool08_WI
19-23681 Pool08_WI
19-23683 Pool08_WI
19-23684 Pool08_WI
19-23686 Pool08_WI
19-23699 Pool13_IA
19-23700 Pool13_IA
19-23708 Pool13_IA
19-23762 Pool13_IA
19-23794 Pool13_IA
19-23835 Pool13_IA
19-23916 Pool13_IA
19-23940 Pool13_IA
19-23941 Pool13_IA
19-23942 Pool13_IA
19-23944 Pool13_IA
19-23945 Pool13_IA
19-23946 Pool13_IA
19-23949 Pool13_IA
19-23950 Pool13_IA
19-23951 Pool13_IA
19-23952 Pool13_IA
19-23953 Pool13_IA
19-23954 Pool13_IA
19-23955 Pool13_IA
19-23957 Pool13_IA
19-23958 Pool13_IA
19-23959 Pool13_IA
19-23960 Pool13_IA
19-23961 Pool13_IA
19-23962 Pool13_IA
19-23965 Pool13_IA
19-23970 Pool13_IA
19-23971 Pool13_IA
19-23972 Pool13_IA
19-23973 Pool13_IA
19-23974 Pool13_IA
19-23975 Pool13_IA
19-23977 Pool13_IA
19-23978 Pool13_IA
19-23979 Pool13_IA
19-23980 Pool13_IA
19-23981 Pool13_IA
19-23982 Pool13_IA
19-23984 Pool13_IA
19-23995 Pool26_IL
19-24000 Pool26_IL
19-24001 Pool26_IL
19-24042 Pool26_IL
19-24043 Pool26_IL
19-24044 Pool26_IL
19-24071 Pool26_IL
19-24072 Pool26_IL
19-24073 Pool26_IL
19-24074 Pool26_IL
19-24075 Pool26_IL
19-24076 Pool26_IL
19-24077 Pool26_IL
19-24083 Pool26_IL
19-24084 Pool26_IL
19-24085 Pool26_IL
19-24086 Pool26_IL
19-24092 Pool26_IL
19-24093 Pool26_IL
19-24094 Pool26_IL
19-24095 Pool26_IL
19-24129 Pool26_IL
19-24130 Pool26_IL
19-24145 Pool26_IL
19-24178 Pool26_IL
19-24179 Pool26_IL
19-24180 Pool26_IL
19-24195 Pool26_IL
19-24198 Pool26_IL
19-24199 Pool26_IL
19-24200 Pool26_IL
19-24233 Pool26_IL
19-24258 Pool26_IL
19-24259 Pool26_IL
19-24269 Pool26_IL
19-24277 Pool26_IL
19-24279 Pool26_IL
19-24280 Pool26_IL
19-24282 Pool26_IL
19-24284 Pool26_IL
19-24286 Pool26_IL
19-24287 Pool26_IL
19-24288 Pool26_IL
19-24316 Pool26_IL
19-24318 Pool26_IL
19-24348 Pool26_IL
19-24372 OR_MO
19-24373 OR_MO
19-24375 OR_MO
19-24376 OR_MO
19-24377 OR_MO
19-24378 OR_MO
19-24381 OR_MO
19-24382 OR_MO
19-24383 OR_MO
19-24385 OR_MO
19-24386 OR_MO
19-24388 OR_MO
19-24394 OR_MO
19-24396 OR_MO
19-24398 OR_MO
19-24399 OR_MO
19-24400 OR_MO
19-24409 OR_MO
19-24410 OR_MO
19-24411 OR_MO
19-24412 OR_MO
19-24415 OR_MO
19-24416 OR_MO
19-24417 OR_MO
19-24418 OR_MO
19-24419 OR_MO
19-24420 OR_MO
19-24422 OR_MO
19-24425 OR_MO
19-24428 OR_MO
19-24433 OR_MO
19-24434 OR_MO
19-24435 OR_MO
19-24457 OR_MO
19-24512 OR_MO
19-24513 OR_MO
19-24514 OR_MO
19-24515 OR_MO
19-24524 OR_MO
19-24545 OR_MO
19-24569 OR_MO
19-24570 OR_MO
19-24571 OR_MO
19-24572 OR_MO
19-24680 LG_IL
19-24712 LG_IL
19-24713 LG_IL
19-24714 LG_IL
19-24715 LG_IL
19-24779 LG_IL
19-24862 LG_IL
19-24863 LG_IL
19-24866 LG_IL
19-24867 LG_IL
19-24901 LG_IL
19-24902 LG_IL
19-24903 LG_IL
19-24908 LG_IL
19-24910 LG_IL
19-24911 LG_IL
19-24912 LG_IL
19-24913 LG_IL
19-24914 LG_IL
19-24915 LG_IL
19-24916 LG_IL
19-24917 LG_IL
19-24918 LG_IL
19-24919 LG_IL
19-24920 LG_IL
19-24921 LG_IL
19-24929 LG_IL
19-24930 LG_IL
19-24932 LG_IL
19-24933 LG_IL
19-24934 LG_IL
19-24936 LG_IL
19-24937 LG_IL
19-24939 LG_IL
19-24941 LG_IL
19-24942 LG_IL
19-24948 LG_IL
19-24949 LG_IL
19-24951 LG_IL
19-24962 LG_IL
19-24964 LG_IL
19-24965 LG_IL
19-24966 LG_IL
19-24977 LG_IL
19-24986 LG_IL
