sample pop
19-23167 Pool04_MN
19-23168 Pool04_MN
19-23169 Pool04_MN
19-23170 Pool04_MN
19-23171 Pool04_MN
19-23172 Pool04_MN
19-23173 Pool04_MN
19-23174 Pool04_MN
19-23175 Pool04_MN
19-23176 Pool04_MN
19-23177 Pool04_MN
19-23178 Pool04_MN
19-23179 Pool04_MN
19-23180 Pool04_MN
19-23213 Pool04_MN
19-23214 Pool04_MN
19-23242 Pool04_MN
19-23349 Pool04_MN
19-23350 Pool04_MN
19-23351 Pool04_MN
19-23352 Pool04_MN
19-23353 Pool04_MN
19-25807 Pool04_MN
19-25808 Pool04_MN
19-25809 Pool04_MN
19-25810 Pool04_MN
19-25811 Pool04_MN
19-25812 Pool04_MN
19-25813 Pool04_MN
19-25814 Pool04_MN
19-25815 Pool04_MN
19-25816 Pool04_MN
19-25817 Pool04_MN
19-25818 Pool04_MN
19-25819 Pool04_MN
19-25820 Pool04_MN
19-25821 Pool04_MN
19-25822 Pool04_MN
19-25823 Pool04_MN
19-25824 Pool04_MN
19-25825 Pool04_MN
19-25826 Pool04_MN
19-25827 Pool04_MN
19-25828 Pool04_MN
19-25829 Pool04_MN
19-25830 Pool04_MN
19-25831 Pool04_MN
19-23548 Pool08_WI
19-23561 Pool08_WI
19-23604 Pool08_WI
19-23605 Pool08_WI
19-23606 Pool08_WI
19-23607 Pool08_WI
19-23608 Pool08_WI
19-23609 Pool08_WI
19-23610 Pool08_WI
19-23611 Pool08_WI
19-23612 Pool08_WI
19-23613 Pool08_WI
19-23614 Pool08_WI
19-23615 Pool08_WI
19-23616 Pool08_WI
19-23617 Pool08_WI
19-23618 Pool08_WI
19-23619 Pool08_WI
19-23620 Pool08_WI
19-23621 Pool08_WI
19-23622 Pool08_WI
19-23623 Pool08_WI
19-23624 Pool08_WI
19-23625 Pool08_WI
19-23626 Pool08_WI
19-23627 Pool08_WI
19-23628 Pool08_WI
19-23629 Pool08_WI
19-23630 Pool08_WI
19-23631 Pool08_WI
19-23632 Pool08_WI
19-23633 Pool08_WI
19-23635 Pool08_WI
19-23643 Pool08_WI
19-23644 Pool08_WI
19-23645 Pool08_WI
19-23646 Pool08_WI
19-23648 Pool08_WI
19-23649 Pool08_WI
19-23650 Pool08_WI
19-23655 Pool08_WI
19-23656 Pool08_WI
19-23657 Pool08_WI
19-23664 Pool08_WI
19-23665 Pool08_WI
19-23666 Pool08_WI
19-23667 Pool08_WI
19-23771 Pool13_IA
19-23772 Pool13_IA
19-23773 Pool13_IA
19-23776 Pool13_IA
19-23778 Pool13_IA
19-23779 Pool13_IA
19-23780 Pool13_IA
19-23781 Pool13_IA
19-23782 Pool13_IA
19-23783 Pool13_IA
19-23784 Pool13_IA
19-23787 Pool13_IA
19-23788 Pool13_IA
19-23789 Pool13_IA
19-23790 Pool13_IA
19-23791 Pool13_IA
19-23793 Pool13_IA
19-23799 Pool13_IA
19-23800 Pool13_IA
19-23809 Pool13_IA
19-23810 Pool13_IA
19-23811 Pool13_IA
19-23812 Pool13_IA
19-23813 Pool13_IA
19-23815 Pool13_IA
19-23816 Pool13_IA
19-23817 Pool13_IA
19-23818 Pool13_IA
19-23819 Pool13_IA
19-23820 Pool13_IA
19-23821 Pool13_IA
19-23822 Pool13_IA
19-23823 Pool13_IA
19-23824 Pool13_IA
19-23825 Pool13_IA
19-23826 Pool13_IA
19-23827 Pool13_IA
19-23828 Pool13_IA
19-23829 Pool13_IA
19-23834 Pool13_IA
19-24002 Pool26_IL
19-24003 Pool26_IL
19-24004 Pool26_IL
19-24006 Pool26_IL
19-24007 Pool26_IL
19-24008 Pool26_IL
19-24009 Pool26_IL
19-24011 Pool26_IL
19-24012 Pool26_IL
19-24013 Pool26_IL
19-24015 Pool26_IL
19-24017 Pool26_IL
19-24018 Pool26_IL
19-24019 Pool26_IL
19-24020 Pool26_IL
19-24021 Pool26_IL
19-24022 Pool26_IL
19-24023 Pool26_IL
19-24024 Pool26_IL
19-24025 Pool26_IL
19-24026 Pool26_IL
19-24027 Pool26_IL
19-24028 Pool26_IL
