tag tag.pos Fstp
27133 271 0.0237
44101 42 0.3525
15138 168 0.0233
9171 409 0.0481
21987 153 0.0218
41318 158 0.0046
36797 152 0.0396
19339 238 0.0643
14406 315 0.0581
17768 12 0.1566
17437 296 0.0253
43194 359 0.0722
37573 287 0.0061
31193 374 -0.0027
14014 143 0.2258
41524 379 0.0018
25531 358 0.0147
45250 265 0.2225
38037 115 0.0744
13678 288 0.1391
43737 238 0.1761
30370 299 0.2471
16991 371 0.0077
59828 198 0.0137
44313 223 0.1438
27506 159 0.0307
36033 254 0.0351
31198 36 0.1108
16894 75 0.131
33026 178 0.1186
5658 245 0.0998
31745 53 0.1568
35122 339 0.0757
7659 286 0.0288
31974 127 0.0276
14951 8 0.0985
39977 54 0.1102
20533 174 0.1033
75208 334 -0.0077
25854 196 0.0652
1184 37 0.031
13857 174 0.0289
54079 202 0.0165
51595 242 0.0028
23531 356 0.0254
32444 361 0.0075
22788 220 0.0386
29305 344 -0.0063
14424 135 1e-04
37296 259 0.0525
43286 142 0.0647
838 300 0.0433
36128 196 0.0763
9629 94 0.0843
35221 387 -0.0034
17268 91 0.0564
52089 172 0.1104
21355 165 0.1476
28911 274 0.0489
18397 397 -0.0015
48196 201 0.0202
47346 134 0.1713
14493 79 0.1714
28811 207 0.0087
14467 177 0.1706
17810 404 -0.0166
26931 220 -0.0024
51367 143 -0.0014
25564 286 0.0026
29965 134 0.0228
18533 272 0.0635
44571 334 0.0905
53100 365 -0.0034
28087 287 -0.0055
6158 247 0.044
16830 133 0.0364
16288 128 0.259
50685 321 0.1569
40866 237 0.1351
50131 71 0.1287
3274 272 0.057
51300 235 0.1747
24002 117 0.0299
2509 256 0.0227
2720 177 0.0422
21894 395 -0.0118
52762 146 0.0091
42767 47 0.0142
32823 18 0.0303
5366 155 0.077
830 38 0.0579
26041 342 0.0173
29222 17 0.1038
21133 357 -0.0065
25301 330 0.0256
28234 46 0.0349
46610 51 0.0258
47702 233 0.0385
13104 385 0.0177
34934 373 0.0083
71356 105 0.1037
