tag tag.pos Fstp
12204 197 -0.0066
51724 75 0.0021
62299 111 -0.0046
22302 369 0.0019
54218 8 -0.0023
49211 286 0.0015
2877 125 -0.0081
3417 282 -0.0052
48366 51 -0.0108
69767 357 -0.0055
4685 352 -0.0123
70071 302 0.0067
65001 142 -0.0035
28005 269 4e-04
44883 56 -0.0043
55894 233 0.0234
54481 264 -0.0028
66736 110 -0.008
48413 255 0.01
14275 386 -0.007
86591 144 0.0045
8157 247 0.001
11274 176 0.0053
37333 353 -0.0108
6585 216 0.0038
21381 169 -9e-04
63495 359 0.0098
74621 186 -9e-04
72639 65 -0.0064
61968 253 -0.0134
32373 279 -0.0081
30026 317 -0.0014
4971 323 -0.0065
94429 233 0.0086
80769 264 -0.0026
11656 263 -0.0088
36667 86 -0.0038
45255 156 0.0173
64853 321 0.0032
60108 268 0.0146
7624 382 -0.0032
12135 152 -0.0064
74232 53 0.0276
34374 275 0.0264
74168 76 0.0039
55519 145 -0.0071
25478 83 0.0012
45390 12 -0.0038
78259 262 -0.0021
78501 287 -0.0031
41220 295 -0.0102
26844 353 0.0098
24850 182 0.0089
36744 177 0.0081
39665 251 -0.0096
67677 14 -6e-04
5941 71 0.0098
13698 176 0.0076
45123 274 -0.0072
68998 294 0.013
69845 204 0.0279
29656 394 -0.0086
5826 244 0.0038
8623 172 -0.0016
25923 354 0.0087
39013 290 -0.003
73382 200 0.0046
28175 53 -0.0077
29284 212 -0.0032
66987 336 0.0099
48466 341 0.0159
43735 222 0.0016
75363 241 0.0093
24717 119 -0.0069
2642 100 -0.0036
31056 358 -0.0025
2706 121 0.0086
16858 354 -0.0095
60504 366 -3e-04
25068 122 0.0032
73893 35 0.0152
62850 176 -0.0049
80060 248 -0.0066
79123 43 0.0096
2440 281 -0.008
32303 13 -0.0016
68070 296 -0.0046
5796 301 0.0057
66834 155 -0.0024
36735 21 0.0174
67852 137 -0.0136
41943 97 0.0171
39579 157 3e-04
74801 171 -0.0044
11109 210 0.0136
58115 171 -0.0107
69426 46 0.0111
56801 105 -0.0064
28374 58 0.0144
53884 329 -0.001
61326 276 0.0013
13254 64 0.0191
4983 254 -0.0057
62005 121 -0.0058
21595 165 -0.0078
15242 11 -0.0115
106729 272 0.0365
5839 284 -0.0051
40363 53 0.0054
47587 226 0.0156
73121 62 0.0017
74064 67 -0.0022
65451 369 -0.0108
58803 85 -0.0031
22431 244 0.0015
56184 157 -0.0111
18090 232 -0.005
56761 177 0.0015
123759 66 -0.0035
62123 209 -0.0033
121403 307 -0.0011
56317 290 0.0426
5845 254 0.0147
61399 164 0.014
27014 281 -0.0061
30251 222 -0.007
66180 291 0.0342
71021 330 0.0178
87177 156 0.0135
41584 274 -0.0051
65906 50 0.0182
28264 87 0.0228
66041 274 0.0012
47337 231 0.0072
50504 337 0.0065
62083 214 -0.004
40893 231 0.0038
53158 76 0.018
1818 220 -0.0048
65645 118 -0.0017
60213 274 0.0359
6526 156 -8e-04
8538 21 -0.0116
78972 285 0.0095
67446 183 0.0473
69675 239 0.0358
30043 46 0.0265
71543 296 -0.0083
79121 281 6e-04
75541 44 -0.01
69430 135 0.0073
70773 363 0.0122
17913 16 0.017
29174 165 0.0063
69832 110 -0.0095
8405 34 -0.0032
64827 129 -0.006
76396 182 -0.003
6754 297 -0.0026
18145 258 0.0077
6248 89 -1e-04
65774 195 0.0067
8062 348 -4e-04
2481 390 0.0303
22619 101 -0.0069
49135 132 0.0019
2157 195 -0.0042
1212 44 0.0175
16989 74 0.0159
21779 230 0.0076
71693 38 0.006
4976 298 0.0032
8860 252 0.0149
38063 240 -0.0072
35836 38 0.0177
74384 15 0.0163
74425 340 -0.004
71581 267 -0.0051
54838 329 9e-04
77552 57 -0.0061
41957 127 -0.0034
46721 343 -0.0085
27748 44 0.0038
4596 11 0.0237
7164 56 -0.0103
56647 220 -0.0113
8762 98 -0.0083
50429 280 -0.0066
64685 370 0.0029
75214 232 -0.0078
50618 397 -0.01
45818 59 -0.0068
2013 229 0.0054
44539 373 0.023
66012 333 0.026
80971 189 0.0022
65903 332 0.0023
7273 23 -0.0018
4852 120 -0.0079
34648 220 -0.0057
43585 356 0.0206
8 141 -0.0095
80724 309 0.0012
41803 110 0.0019
65975 203 -0.0024
40119 347 0.0042
22561 110 0.0159
17511 181 0.0167
70863 98 -0.0095
19587 263 -0.0045
28485 94 -9e-04
51471 78 -0.0056
76018 301 5e-04
7872 181 0.0135
39567 190 0.0064
79318 327 -0.0202
57077 217 0.0207
2289 268 0.0268
54518 56 0.0089
12146 225 0.0192
25393 183 4e-04
43434 118 0.0151
44988 324 0.0077
55272 185 -0.0099
29592 56 -0.01
11733 170 -0.0182
8706 100 -0.0122
27815 157 0.0108
118954 13 0.0052
11990 359 0.0071
72047 345 0.0022
2315 184 -0.009
23583 321 0.0241
57708 35 0.0065
44944 83 0.0179
4306 67 -0.0034
36312 173 -0.0099
18632 58 0.0165
26508 47 -0.0068
22535 221 -0.0023
65436 257 -0.0059
78790 317 -0.0111
3685 75 -0.011
26801 267 1e-04
46955 174 -8e-04
70499 242 -0.0034
27560 25 -0.01
13137 310 4e-04
33781 205 -0.0073
48618 294 0.0086
2092 231 -0.0024
27597 76 -0.0039
22526 157 0.0095
77046 90 0.0142
30727 178 0.017
43563 256 -0.0117
7727 284 -0.0109
14185 19 0.012
46856 194 0.007
55888 269 -0.0127
73537 219 -0.0109
27155 131 -0.0094
78296 272 0.0087
19430 271 -0.009
65140 145 -0.0079
73739 228 -0.0045
40595 79 -0.0072
1899 36 -0.002
27075 197 1e-04
64292 342 0.0311
68591 87 0.0018
67606 209 -0.0053
74310 144 0.0094
36893 237 -0.0058
10761 67 -0.0045
2623 152 -0.0032
23205 299 0.0246
22867 102 0.0082
195946 157 -0.0107
52618 334 -0.0067
51472 202 -0.0049
80153 32 -0.0069
40587 318 0.003
57124 210 0.0101
3577 74 -0.0087
63115 390 -1e-04
58737 197 0.0014
42657 27 -0.009
60794 105 -0.0049
60628 110 -0.0033
21147 318 0.0169
61301 32 0.0103
40002 33 0.0087
78089 30 -0.0043
16009 296 -0.0017
59577 378 0.0316
71355 168 -8e-04
57541 31 0.0118
47405 291 -0.0022
45150 312 -0.0055
41588 134 0.0103
6186 309 0.0099
7111 91 -0.0068
7672 220 -0.0071
81627 159 -0.0058
75276 156 0.006
29269 344 0.0104
11333 225 -0.0011
45694 159 -0.0026
18783 108 -0.0101
2511 308 0.0311
66404 72 0.0059
41999 289 -0.0117
24093 224 0.0178
17277 206 -0.0113
16885 78 0.009
15488 76 0.0052
37831 234 0.0044
1861 130 0.0153
77598 259 -0.0054
56156 258 0.0223
42552 174 0.0085
44620 330 0.0182
23667 380 -7e-04
36906 18 -0.0145
7529 41 -0.004
18970 386 0.0065
22193 328 0.0157
35495 343 -0.0128
13809 97 -0.0018
32611 237 0.0082
28547 191 -0.0115
47642 175 -0.0048
49527 46 0.0033
23917 337 -5e-04
59763 233 -0.0122
45226 199 0.0106
10621 145 -0.0055
13188 334 -0.005
29017 136 -0.0025
7781 378 0.0065
17999 262 0.0053
62533 92 0.0015
72175 155 -0.0048
46924 23 -0.0114
22204 340 -0.008
34117 238 0.0179
39766 227 4e-04
20408 393 -0.0049
49987 331 0.0062
66569 326 0.0324
27902 267 0.0054
13387 180 -0.0091
58847 117 -0.0085
52746 101 0.0071
8952 174 -0.0122
30493 229 -0.0025
20275 108 0.0032
35028 202 0.0082
20411 242 -0.0083
42544 116 0.0036
57050 126 0.0088
12804 30 -0.0067
18641 150 -4e-04
14039 179 0.0027
28226 214 0.015
6210 44 0.0457
67357 70 0.003
47956 265 -0.0049
27250 246 -0.0079
35184 216 0.0183
35931 70 0.0155
55721 53 0.0015
80799 79 6e-04
47545 168 -0.0062
7296 331 -0.01
7385 220 -0.0098
36502 255 0.0054
59792 301 0.0065
28751 169 -5e-04
54693 193 0.0032
38329 7 -0.0122
62520 316 -0.0016
2763 69 -0.0075
40534 131 0.0074
79346 160 0.0084
61455 69 0.0066
72083 384 0.0236
35786 25 5e-04
47658 86 -0.0017
62145 79 -0.0089
50421 50 -0.0046
33136 273 -4e-04
503 292 -0.0044
21932 269 -0.0031
24865 267 -0.0016
78580 387 5e-04
63475 12 -0.0128
62760 389 -0.0027
28139 324 0.0171
68586 323 0.0018
30669 269 -0.0031
66688 175 -0.0064
74108 366 0.0043
65375 312 0.0029
29239 13 -0.0069
40787 48 0
28177 274 -0.0078
13717 379 0.0046
74596 196 -0.0067
53281 224 0.0452
92050 28 0.0076
17454 236 -0.0064
67625 171 -0.0067
11512 288 -0.0021
120654 322 -0.0115
68416 240 -0.0038
62166 352 -7e-04
54423 256 0.001
59403 170 0.007
9276 273 0.01
68359 351 -0.008
51220 353 0.0012
62390 43 -0.01
16378 148 0.0094
27837 214 0.0088
21771 115 0.0061
39298 195 -0.0082
31957 8 0.0041
7677 36 -9e-04
45526 351 0.02
64693 247 -0.0068
2284 131 0.013
22934 314 -0.0079
58919 93 -3e-04
56904 84 -0.0049
53579 251 0.0079
24309 119 0.009
50835 52 0.0199
54958 366 0.011
32190 227 -0.0096
77631 284 0.0082
22967 383 0.0067
8950 258 -0.0109
41486 79 0.0057
35515 36 -7e-04
53538 269 -0.0123
81524 115 0.0047
6866 273 -0.0031
77781 34 0.0026
67805 286 -0.0086
21244 307 0.0396
70286 16 -0.001
55271 116 -0.0038
6722 127 0.014
66196 165 7e-04
38082 210 -0.0151
66853 199 0.006
18006 223 -0.0112
32198 122 -0.0054
21148 243 -0.0051
7477 368 0.0082
8536 322 0.0018
37534 211 -0.0092
57816 90 -0.0167
302 253 8e-04
68859 77 0.0066
75974 312 0.0168
56744 156 -0.0057
14672 238 0.0042
13937 262 0.0015
66631 326 0.0114
1365 44 -0.0014
76139 380 -0.0062
76061 327 0.0338
39695 41 -0.006
56143 161 -0.0041
41222 58 0.001
57523 189 0.0012
45849 42 -0.006
65362 321 0.0078
3125 376 -0.0124
78415 361 -0.0078
60145 120 -0.0039
55347 264 -0.0196
53419 41 0.0046
71208 271 0.0114
70748 123 -0.0018
3200 322 -0.0089
18214 309 0.0079
13966 295 -8e-04
10266 161 0.0101
40818 118 0.0051
48781 12 0.0161
49982 159 -0.006
72082 84 0.0381
64428 334 -0.0027
21795 330 0.0178
2424 261 0
7088 195 -0.0078
43670 32 0.0141
57870 300 -4e-04
25119 83 0.0038
19203 356 -0.006
56828 217 0.0067
51307 281 0.0051
74463 291 0.0341
4031 41 0.0086
14317 332 -0.0029
6420 149 0
50249 306 0.0028
18509 244 -0.0044
60745 164 -0.0084
1306 335 -0.0024
37422 262 -0.0027
60227 216 0.0339
17050 33 0.0095
47254 102 -0.0088
33630 175 -0.0029
8121 162 0.0053
71736 92 0.0047
56640 358 0.002
5312 319 -0.0072
15997 340 -0.0073
53602 289 -0.0102
45172 279 0.0297
73612 349 -0.0027
52826 322 -0.0072
8167 274 -0.0037
4200 115 0.0056
76280 253 -0.0116
50817 78 0.0073
39015 272 -0.0035
22587 333 -5e-04
63602 259 0.0062
14816 217 -0.0073
83857 396 -0.0012
64503 150 0.002
689 358 0.0082
26160 272 -0.0071
78235 44 1e-04
58817 236 -0.007
29899 413 -0.0083
62481 260 0.0147
11089 351 0.036
17679 123 -0.0068
34494 224 -0.0033
43639 126 0.0065
2324 48 0.0025
10613 74 0.0024
66752 22 0.0023
1445 145 -0.0092
58033 376 -0.0028
74219 326 -0.0117
69973 114 0.0157
57492 60 -0.0127
23531 361 -0.0035
65326 372 -3e-04
3594 276 0.0018
23783 266 0.0092
42286 306 -0.0089
24892 296 0.0276
69364 306 0.0014
80816 254 0.0518
66238 322 0.0026
77168 156 -0.0061
33738 7 0.0154
54076 165 0.013
73060 56 -0.0084
30021 153 0.0116
63907 260 -0.0063
64446 311 0.0244
68133 237 0.0146
6911 193 0.0121
64642 295 0.0071
4779 254 0.0022
27230 303 -0.0067
28975 248 0.0115
17088 351 0.0037
69516 59 0.0147
76329 123 -1e-04
3756 311 -0.0141
56905 211 -0.0104
68774 173 -0.0027
26554 314 -0.0125
9319 51 -0.0072
26191 357 -0.0136
66453 285 0
18708 162 0.0397
54490 104 0.0077
37848 157 -0.0135
24460 127 -0.003
9307 286 0.0063
11562 77 0.0175
48621 112 -0.0063
33213 54 0.002
55348 354 0.003
68799 25 0.013
36044 230 8e-04
34682 388 -0.0065
30462 160 0.0191
68904 353 -0.0107
51476 55 0.0174
81917 134 -0.0024
13157 55 0.0074
80630 351 -0.0029
72206 7 0.0064
68320 345 0.001
58562 339 0.004
50212 97 0.0261
29648 390 -0.0019
412 239 -0.0064
44693 157 -0.005
14037 133 0.0039
37321 313 -0.009
55609 335 -0.0034
1277 60 0.0016
22939 204 0.002
39312 315 -0.0098
77454 260 -0.004
4078 235 -0.0044
26482 60 0.0026
61892 77 -0.0056
1307 280 -0.0037
65104 354 0.0034
11173 285 -0.0041
51000 74 -0.0076
55079 288 0.0252
36644 16 8e-04
16923 219 -0.002
22698 186 0.002
76320 255 0.0024
16290 29 -0.0227
77620 276 -0.0077
9916 236 -0.001
81272 338 -0.0083
3922 242 0.0217
52499 387 -0.0105
16624 293 -0.0054
52580 32 -0.0045
36357 32 -0.0034
112830 254 -0.0022
31238 191 -0.0048
28152 230 -0.0049
68141 359 -0.0052
63876 168 -0.0087
53689 276 -0.0031
81759 308 0.0115
41663 321 -0.011
25734 342 0.0054
43858 93 -0.0055
76661 389 5e-04
73605 79 -0.0085
57939 250 -0.0135
66739 308 0.0185
65967 101 8e-04
78603 14 -0.0102
37993 225 -0.0047
61733 66 -0.0036
57798 181 -0.0064
53870 210 0.0141
80133 105 -0.0095
19642 169 -0.0115
79283 298 9e-04
36279 12 0.0029
66090 206 -0.0047
12908 291 -0.0143
26880 151 0.0038
68667 273 0.0088
18817 82 0.0123
58561 155 0.017
67708 96 0.0033
50450 143 0.0074
79175 232 -4e-04
7277 306 -0.0075
49049 86 0
30070 261 0.0123
19725 10 0.0055
44556 298 -0.0078
59682 348 0.007
70687 187 -0.0084
51819 233 0.0057
33939 356 0.0077
46395 184 0.0262
49251 68 0.0016
95377 176 0.0258
68214 142 0.0181
28347 66 0.013
55823 28 0.0035
20865 96 0.0274
74061 172 -0.0031
69151 131 -0.0069
71675 205 0.0404
38844 258 0.0244
27152 161 -0.0036
72026 89 6e-04
51417 227 0.0034
64439 340 1e-04
79590 311 -0.0092
17787 323 0.0235
79877 323 0.0171
60878 347 -0.0059
61729 268 -0.0024
65431 202 -0.0099
7965 188 -5e-04
70072 335 -0.012
24759 244 -1e-04
24270 93 0.0021
92105 128 0.0115
31352 284 0.0025
79959 55 0.0012
76059 279 0.0057
29606 166 -0.0093
39848 56 0.0044
19875 166 -0.0067
28084 7 -0.0015
72766 155 -0.0079
61887 200 -0.0103
59535 9 -0.0064
57048 137 -0.0056
19682 253 -0.0085
49620 325 0.0225
20703 339 -0.0089
29383 278 -0.0034
71333 153 -0.0113
73534 254 -0.0173
63460 404 -0.0017
12553 163 -0.0081
36482 178 -0.0096
40192 279 -0.0082
41869 313 -0.0121
60553 168 -0.0038
56179 82 -0.0022
45060 330 -0.0122
70882 107 0.0285
56821 158 1e-04
74972 382 0.0019
15796 66 -0.0072
3690 301 -0.0013
1442 16 -0.0036
44379 362 -8e-04
81739 202 0.0105
12845 303 0.0016
6077 210 -0.0173
31214 281 0.018
6213 363 -0.0078
64308 268 0.0061
41245 294 0.0268
9904 310 -0.0081
925 245 0.0349
91379 255 5e-04
62106 211 0.0083
79867 80 -3e-04
16086 215 0.0116
60087 86 0.0049
60669 273 -0.0085
81105 66 -0.005
39254 188 -0.0025
17527 212 0.0026
35767 175 0.0015
18551 91 0.0148
64733 330 -0.0039
63954 108 0.0031
22647 153 0.0312
27731 66 0.0015
65407 227 -0.0051
23789 326 -0.0071
57946 122 -0.0019
76461 182 -0.0097
3538 244 0.0134
65102 192 -0.0067
2671 296 0.0032
40962 116 -0.0102
57768 111 -0.0091
63520 261 -0.0106
50307 202 -0.011
36757 97 -0.009
16436 197 0.0083
77664 173 0.0059
70459 48 -0.0061
64211 169 -0.0061
52452 269 -6e-04
26719 93 -0.0096
64076 273 0.0127
20784 239 0.003
27460 233 -0.0106
11218 369 -0.0088
27857 275 0.0025
67500 229 0.0095
56474 60 -0.006
75611 96 -0.0012
38872 110 -0.0081
49339 231 -0.005
12731 32 -0.0055
7836 262 0.013
12582 410 -0.0041
137642 308 0.0011
68041 324 -0.0056
57839 289 0.0604
2425 66 -0.0051
12059 213 -0.0061
9310 142 -0.0033
14995 95 0.0011
60744 57 0.0079
5897 177 0.0228
61736 352 -0.0034
12152 336 -6e-04
37184 348 -0.0022
17263 197 0.0096
67216 284 -0.0122
76130 351 0.0056
22806 192 -0.0026
33482 105 0.0514
28156 348 0.017
66900 254 -0.0091
52235 201 -0.0049
68966 19 0.0053
4373 200 0.0042
110147 143 0.0067
70208 243 8e-04
6140 46 -0.01
47389 41 0.0215
31993 257 -0.0044
57803 279 -0.0031
71378 187 0.004
73023 313 0.0195
71613 269 0.0027
49898 322 0.0136
55232 9 -0.0077
49065 228 0.0153
1007 350 -0.0032
60192 196 0.0105
27039 217 -0.0048
7028 292 0.0067
43840 55 -7e-04
41146 39 -0.0053
26154 232 0.0013
3923 267 -7e-04
16017 57 0.0155
79157 15 -0.0066
56635 318 0.0068
58213 300 0.0156
37653 130 0.0243
77423 40 0.0029
66613 40 0.0159
7420 250 0.0067
53444 289 -0.0017
63832 263 -0.0081
30676 185 4e-04
60867 341 -0.0091
71597 314 0.0011
64323 237 -0.0109
133 60 -0.0058
45717 60 0.0051
74936 177 -0.0081
38145 72 -0.0085
58042 166 -0.0067
70300 143 0.004
28786 35 0.0026
58467 191 0.0043
27378 141 0.0074
69962 287 -0.0026
68363 175 0.0018
23123 113 0.0049
41476 105 0.0117
66585 189 -0.0105
81949 260 0.0014
23932 48 -0.0113
29814 253 -0.0063
45443 299 -0.0097
72843 230 -0.0049
5581 317 -0.0077
62582 155 -0.0089
56157 336 0.0121
80582 115 -0.0028
9608 31 0.0033
49351 65 -0.0052
32077 220 -0.0129
81054 134 0.0013
67920 262 0.0193
44228 255 -0.0017
81576 343 0.0099
60522 114 -0.0127
43066 120 0.0178
6128 307 -0.0028
3230 184 -0.0015
31402 311 0.019
78383 258 -0.0043
57276 13 0.0036
46590 158 -0.0091
32444 265 -0.0015
33651 218 -0.0124
76739 23 -0.0067
53799 224 0.0022
48723 42 0.012
63502 236 -0.0033
73577 151 -0.0104
75456 365 -0.0052
59409 305 0.0084
52859 66 -0.0069
14631 123 0.0052
60736 129 0.0035
63324 132 0.0055
65438 191 0.0077
2696 23 0.0086
7614 290 0.003
11644 219 -0.0122
6397 122 0.0045
49569 336 0.0079
37224 153 -0.0076
6915 383 0.0194
8412 252 -0.0079
45626 222 -0.0079
54533 274 0.0096
56884 174 0.0148
54477 159 0.0063
80496 289 -0.0063
32855 317 0.0152
17758 119 -0.0104
38895 68 0.0083
35398 37 -0.0075
59088 160 -0.0051
56363 90 0.003
71933 142 -0.0044
54105 77 -0.0046
2982 400 0.0296
52649 141 -0.003
67190 153 -7e-04
74724 191 -0.0025
44107 318 -0.0107
80374 194 -0.01
60998 32 -0.0057
55391 37 0.001
26765 143 -0.0049
64310 168 -0.007
2291 30 0.0041
26609 187 -0.0016
34292 121 -0.0094
47314 200 -0.0069
9129 216 0.0122
43107 315 0.0013
69229 52 -0.0062
48500 202 0.0171
66441 237 -0.0063
71889 269 -0.0058
78565 63 -0.0062
8116 192 8e-04
22005 284 -0.0135
105401 210 -0.0061
43972 335 0.0187
78363 304 0.002
17983 345 -0.0043
39803 176 0.0026
71429 46 -0.0076
73227 157 0.0034
33723 174 0.0019
17302 361 -0.0161
8228 203 -0.008
57020 289 0.0047
64316 223 -0.0027
21219 41 0.0148
70585 386 -0.0019
81027 300 -0.0114
5747 248 0.0043
106713 92 -0.0062
81383 214 0.0037
884 150 0.0042
78314 14 0.0174
5453 234 -0.0015
10962 304 0.0201
59549 269 0.0013
