"locus" "pair1" "pair2" "pair3" "pair4" "pair5" "pair6" "pair7" "pair8" "pair9" "pair10" "pair11" "pair12" "pair13" "pair14" "pair15" "dxy_avg"
"1" "SNP_1" 0 0 0 0.369565217391304 0 0 0 0.369565217391304 0 0 0.369565217391304 0 0.369565217391304 0 0.369565217391304 0.123188405797101
"2" "SNP_2" 0.509194159004868 0.50607822410148 0.508985200845666 0.510042283298097 0.507751937984496 0.293340380549683 0.194503171247357 0.158562367864693 0.236434108527132 0.298037190082645 0.274276859504132 0.325757575757576 0.166322314049587 0.242424242424242 0.212121212121212 0.329588748490858
"3" "SNP_3" 0.0106382978723404 0 0 0 0 0.0106382978723404 0.0106382978723404 0.0106382978723404 0.0106382978723404 0 0 0 0 0 0 0.00354609929078014
"4" "SNP_4" 0.541269841269841 0.505925925925926 0.511347517730496 0.454022988505747 0.522222222222222 0.493121693121693 0.486828774062817 0.553366174055829 0.474206349206349 0.498108747044917 0.507662835249042 0.496296296296296 0.514673514306676 0.49290780141844 0.528735632183908 0.505379754173347
"5" "SNP_5" 0.519444444444444 0.509456264775414 0.516075650118203 0.526053639846743 0.496491228070175 0.453457446808511 0.420877659574468 0.37176724137931 0.517269736842105 0.461521050248981 0.437637564196625 0.508398656215006 0.393983859134263 0.514277715565509 0.523139745916515 0.477990126875752
"6" "SNP_6" 0.0215130023640662 0.0333333333333333 0.0217391304347826 0.0111111111111111 0.0111111111111111 0.0328820116054159 0.0212765957446809 0.0106382978723404 0.0106382978723404 0.033102766798419 0.0227272727272727 0.0227272727272727 0.0108695652173913 0.0108695652173913 0 0.0183026222757953
"7" "SNP_7" 0.096969696969697 0.0449260042283298 0.0227272727272727 0.0227272727272727 0.0352870813397129 0.0974160206718346 0.0777777777777778 0.0777777777777778 0.0888888888888889 0.0232558139534884 0.0232558139534884 0.0358017135862913 0 0.0131578947368421 0.0131578947368421 0.0448751282717011
"8" "SNP_8" 0 0 0 0.103448275862069 0 0 0 0.103448275862069 0 0 0.103448275862069 0 0.103448275862069 0 0.103448275862069 0.0344827586206897
"9" "SNP_9" 0.109090909090909 0.106966403162055 0.0547979797979798 0.161713286713287 0.13022113022113 0.178260869565217 0.135555555555556 0.223076923076923 0.197297297297297 0.133574879227053 0.221571906354515 0.195652173913044 0.184615384615385 0.155255255255255 0.238045738045738 0.16171304612609
"10" "SNP_10" 0.424074074074074 0.422962962962963 0.43816425120773 0.424279835390946 0.442342342342342 0.129861111111111 0.202898550724638 0.136188271604938 0.222972972972973 0.198550724637681 0.130864197530864 0.218918918918919 0.203703703703704 0.274383078730905 0.223723723723724 0.272925914642501
"11" "SNP_11" 0.0106382978723404 0.0326086956521739 0.0555555555555556 0.303571428571429 0.0810810810810811 0.0425531914893617 0.0650118203309693 0.307750759878419 0.0899942495687177 0.0845410628019324 0.31638198757764 0.108401880141011 0.325396825396825 0.127627627627628 0.33542471042471 0.15243594493132
"12" "SNP_12" 0.410935180603662 0.352713178294574 0.269915883226126 0.348837209302326 0.343941248470012 0.446099290780142 0.415799004074242 0.44468085106383 0.442889137737962 0.360756501182033 0.408518518518519 0.405555555555556 0.35709219858156 0.352463605823068 0.403070175438597 0.384217835910147
"13" "SNP_13" 0.0375 0.05 0 0 0.0147058823529412 0.08375 0.0375 0.0375 0.0511029411764706 0.05 0.05 0.0632352941176471 0 0.0147058823529412 0.0147058823529412 0.0336470588235294
"14" "SNP_14" 0 0 0.0319148936170213 0.120689655172414 0 0 0.0319148936170213 0.120689655172414 0 0.0319148936170213 0.120689655172414 0 0.14490095377843 0.0319148936170213 0.120689655172414 0.050354609929078
