tag tag.pos Fstp
11919 319 -0.0066
85403 135 0.0087
124259 228 0.0298
74587 22 -0.001
95980 47 -0.0034
6906 85 0.0439
98136 74 0.0085
48902 121 0.0132
21786 332 -0.0049
83182 156 0.0162
101806 164 0.0106
51180 82 0.0046
33455 278 9e-04
63699 276 0.0136
96384 228 0.0439
55058 125 0.02
54851 214 0.008
9403 209 -0.0041
64729 305 0.0032
88226 197 -0.0095
31501 132 0.0218
78231 261 0.0022
27839 24 -0.0035
33133 202 0.0037
102730 34 0.0043
82001 367 -0.0059
121960 297 0.0111
5161 129 -0.0091
46886 290 -0.0069
59715 19 0.0095
5886 155 -0.0025
20752 275 -0.0053
76804 155 -9e-04
61831 75 -0.0057
57536 100 -0.0018
40342 22 0.005
37888 90 0.0198
27029 132 0.0163
97033 334 0.0024
81668 23 0.0309
42597 245 -0.0035
93705 197 -0.0064
151422 179 0.0199
77348 328 0.0087
98508 98 0.0041
27787 320 0.0034
26988 279 -0.0087
80122 295 0.0083
87374 99 3e-04
73135 126 -0.0134
47260 11 -0.006
88227 99 -0.0093
43891 199 0.0012
93456 191 -0.0063
3901 326 0.0138
9799 34 -0.0065
17526 278 0.0052
60201 120 -0.0028
34907 130 -0.001
69469 258 -0.0139
88082 120 0.0082
32244 158 -0.0092
23273 227 -0.0059
4602 178 -0.005
13145 349 -0.0102
43660 40 -0.0067
25424 68 -0.0049
92716 110 -0.0072
50158 222 0.0073
34579 30 -0.0044
62843 219 0.0031
31919 230 -0.0115
74804 274 0.0138
134555 101 -0.0015
84100 222 -0.0106
55362 144 0.0118
84969 52 0.0199
26430 33 -6e-04
46613 112 0.0041
9587 19 0.0092
71942 96 0.0232
54215 146 0.0074
17285 11 -0.0089
90024 100 -0.0078
60238 72 0.0073
76628 119 -0.004
60617 157 0.01
72131 12 0.0112
53376 51 0.0047
62539 310 0.0051
80081 206 -4e-04
100990 149 0.0026
53019 39 -0.0053
87859 173 0.0304
94212 79 0.007
6270 231 0.0085
86314 111 0.0221
77230 242 -0.014
32378 48 0.0267
67025 183 0.0124
75818 85 -0.0037
49628 23 0.0015
84136 265 -0.0058
20586 120 0.0258
19900 74 0.0017
38109 91 -0.003
40447 169 0.0011
61683 303 -0.0035
57893 267 -0.0061
4273 114 0.0242
36259 120 0.0059
5880 194 -0.0047
72727 306 0.0172
51517 286 0.0581
101049 188 0.0173
68889 19 0.0419
15003 145 0.0388
81774 156 0.0122
20516 293 -0.0073
46943 128 0.0012
30599 124 -0.001
23330 243 -0.0115
77431 78 -0.0031
35589 17 0.0024
94509 13 0.0054
5583 50 -0.0083
56372 48 0.009
45487 52 0.0307
32993 129 -0.0065
39377 208 0.0345
51838 330 -0.0047
34552 151 0.0325
41361 191 0.0079
38060 85 0.017
65694 178 0.008
54492 71 0.0264
58239 240 0.0084
21390 304 -0.015
