"tag" "reference" "chr" "chr.pos"
"1" 12204 "NC_045152.1" 1 230654
"2" 51724 "NC_045152.1" 1 453368
"3" 62299 "NC_045152.1" 1 810118
"4" 22302 "NC_045152.1" 1 956910
"5" 54218 "NC_045152.1" 1 959695
"6" 49211 "NC_045152.1" 1 961222
"7" 2877 "NC_045152.1" 1 965459
"8" 3417 "NC_045152.1" 1 988932
"9" 48366 "NC_045152.1" 1 1027305
"10" 69767 "NC_045152.1" 1 1505332
"11" 4685 "NC_045152.1" 1 1548249
"12" 70071 "NC_045152.1" 1 1594338
"13" 65001 "NC_045152.1" 1 1713188
"14" 28005 "NC_045152.1" 1 1736345
"15" 44883 "NC_045152.1" 1 2008786
"16" 55894 "NC_045152.1" 1 2457729
"17" 54481 "NC_045152.1" 1 2514937
"18" 66736 "NC_045152.1" 1 2808518
"19" 48413 "NC_045152.1" 1 2808975
"20" 14275 "NC_045152.1" 1 2815213
"21" 86591 "NC_045152.1" 1 2833962
"22" 8157 "NC_045152.1" 1 2837686
"23" 11274 "NC_045152.1" 1 2892252
"24" 37333 "NC_045152.1" 1 2892663
"25" 6585 "NC_045152.1" 1 3911084
"26" 21381 "NC_045152.1" 1 4143286
"27" 63495 "NC_045152.1" 1 4300133
"28" 74621 "NC_045152.1" 1 4554380
"29" 72639 "NC_045152.1" 1 4740763
"30" 61968 "NC_045152.1" 1 4743455
"31" 32373 "NC_045152.1" 1 4990612
"32" 30026 "NC_045152.1" 1 5297070
"33" 4971 "NC_045152.1" 1 5300909
"34" 94429 "NC_045152.1" 1 5301047
"35" 80769 "NC_045152.1" 1 5378180
"36" 11656 "NC_045152.1" 1 5470821
"37" 36667 "NC_045152.1" 1 5472176
"38" 45255 "NC_045152.1" 1 5525438
"39" 64853 "NC_045152.1" 1 5569754
"40" 60108 "NC_045152.1" 1 5615888
"41" 7624 "NC_045152.1" 1 5616119
"42" 12135 "NC_045152.1" 1 5629409
"43" 74232 "NC_045152.1" 1 5641829
"44" 34374 "NC_045152.1" 1 5642182
"45" 74168 "NC_045152.1" 1 5657443
"46" 55519 "NC_045152.1" 1 5870251
"47" 25478 "NC_045152.1" 1 6216292
"48" 45390 "NC_045152.1" 1 6427748
"49" 78259 "NC_045152.1" 1 6649335
"50" 78501 "NC_045152.1" 1 6919031
"51" 41220 "NC_045152.1" 1 6919243
"52" 26844 "NC_045152.1" 1 7040281
"53" 24850 "NC_045152.1" 1 7042598
"54" 36744 "NC_045152.1" 1 7117094
"55" 39665 "NC_045152.1" 1 7448541
"56" 67677 "NC_045152.1" 1 7754505
"57" 5941 "NC_045152.1" 1 7801542
"58" 13698 "NC_045152.1" 1 7826923
"59" 45123 "NC_045152.1" 1 7871905
"60" 68998 "NC_045152.1" 1 7906372
"61" 69845 "NC_045152.1" 1 7906834
"62" 29656 "NC_045152.1" 1 8122378
"63" 5826 "NC_045152.1" 1 8149690
"64" 8623 "NC_045152.1" 1 8491595
"65" 25923 "NC_045152.1" 1 8803917
"66" 39013 "NC_045152.1" 1 8854291
"67" 73382 "NC_045152.1" 1 8878521
"68" 28175 "NC_045152.1" 1 8883480
"69" 29284 "NC_045152.1" 1 8884852
"70" 66987 "NC_045152.1" 1 8903034
"71" 48466 "NC_045152.1" 1 9370913
"72" 43735 "NC_045152.1" 1 9498101
"73" 75363 "NC_045152.1" 1 9498509
"74" 24717 "NC_045152.1" 1 10158976
"75" 2642 "NC_045152.1" 1 10160075
"76" 31056 "NC_045152.1" 1 10298979
"77" 2706 "NC_045152.1" 1 10383307
"78" 16858 "NC_045152.1" 1 10383500
"79" 60504 "NC_045152.1" 1 10754489
"80" 25068 "NC_045152.1" 1 11577489
"81" 73893 "NC_045152.1" 1 11614968
"82" 62850 "NC_045152.1" 1 11628244
"83" 80060 "NC_045152.1" 1 11896674
"84" 79123 "NC_045152.1" 1 12313318
"85" 2440 "NC_045152.1" 1 13012702
"86" 32303 "NC_045152.1" 1 13736710
"87" 68070 "NC_045152.1" 1 13938247
"88" 5796 "NC_045152.1" 1 14417669
"89" 66834 "NC_045152.1" 1 14929341
"90" 36735 "NC_045152.1" 1 14929515
"91" 67852 "NC_045152.1" 1 15176270
"92" 41943 "NC_045152.1" 1 17348189
"93" 39579 "NC_045152.1" 1 17430123
