"locus" "pair1" "pair2" "pair3" "pair4" "pair5" "pair6" "pair7" "pair8" "pair9" "pair10" "pair11" "pair12" "pair13" "pair14" "pair15" "dxy_avg"
"1" "SNP_1" 0.037037037037037 0.037037037037037 0.037037037037037 0.114197530864198 0.0833333333333333 0 0 0.0833333333333333 0.05 0 0.0833333333333333 0.05 0.0833333333333333 0.05 0.125 0.0555761316872428
"2" "SNP_2" 0.5 0.538602941176471 0.529411764705882 0.479411764705882 0.493137254901961 0.5 0.5 0.5 0.5 0.446428571428571 0.5375 0.5125 0.528571428571429 0.509523809523809 0.493333333333333 0.504561391223156
"3" "SNP_3" 0.342592592592593 0.367647058823529 0.390625 0.384615384615385 0.401785714285714 0.333333333333333 0.362268518518518 0.354700854700855 0.376322751322751 0.384191176470588 0.377828054298643 0.396008403361344 0.399038461538462 0.4140625 0.409340659340659 0.379624030880158
"4" "SNP_4" 0.117647058823529 0.181372549019608 0.151702786377709 0.196691176470588 0.129981024667932 0.187037037037037 0.157894736842105 0.202083333333333 0.136559139784946 0.214912280701754 0.251736111111111 0.197132616487455 0.228618421052632 0.16893039049236 0.211693548387097 0.182266147372613
"5" "SNP_5" 0.0810344827586207 0.078125 0.0615384615384615 0.08 0.08 0.0635775862068965 0.0464190981432361 0.0655172413793103 0.0655172413793103 0.0432692307692308 0.0625 0.0625 0.0452991452991453 0.0452991452991453 0.0644444444444444 0.0630027384811868
"6" "SNP_6" 0.188988095238095 0.296428571428571 0.182603686635945 0.266741071428571 0.239010989010989 0.225 0.0712365591397849 0.184895833333333 0.147435897435897 0.219354838709677 0.29375 0.269230769230769 0.178427419354839 0.140198511166253 0.235576923076923 0.209258611012643
"7" "SNP_7" 0.220486111111111 0.340277777777778 0.275525525525526 0.293300653594771 0.297685185185185 0.28125 0.192567567567568 0.216911764705882 0.222916666666667 0.324324324324324 0.338235294117647 0.341666666666667 0.272655007949126 0.277477477477477 0.295098039215686 0.279358537459028
"8" "SNP_8" 0.332506203473945 0.419354838709677 0.371916508538899 0.38833746898263 0.358870967741935 0.384615384615385 0.316742081447964 0.340236686390533 0.298076923076923 0.411764705882353 0.423076923076923 0.402777777777778 0.377828054298643 0.345588235294118 0.365384615384615 0.369138491646155
"9" "SNP_9" 0.127142857142857 0.0857142857142857 0.147857142857143 0.0857142857142857 0.0995238095238095 0.05 0.1175 0.05 0.065 0.075 0 0.0166666666666667 0.075 0.0891666666666667 0.0166666666666667 0.0733968253968254
"10" "SNP_10" 0.5 0.5 0.5 0.5 0.5 0.491776315789474 0.496567505720824 0.494736842105263 0.505444646098004 0.479619565217391 0.46875 0.532327586206897 0.48695652173913 0.513493253373313 0.520689655172414 0.499357459428181
