"tag" "reference" "chr" "chr.pos"
"1" 85795 "NC_041331.1" "1" 28881
"2" 1289 "NC_041331.1" "1" 61894
"3" 5709 "NC_041331.1" "1" 141861
"4" 73555 "NC_041331.1" "1" 150998
"5" 5540 "NC_041331.1" "1" 152919
"6" 85152 "NC_041331.1" "1" 169041
"7" 12725 "NC_041331.1" "1" 188568
"8" 62283 "NC_041331.1" "1" 188970
"9" 21108 "NC_041331.1" "1" 446305
"10" 106423 "NC_041331.1" "1" 447155
"11" 42992 "NC_041331.1" "1" 551259
"12" 27716 "NC_041331.1" "1" 608006
"13" 104504 "NC_041331.1" "1" 747341
"14" 25713 "NC_041331.1" "1" 886853
"15" 69150 "NC_041331.1" "1" 887137
"16" 27941 "NC_041331.1" "1" 996296
"17" 91182 "NC_041331.1" "1" 1154137
"18" 12655 "NC_041331.1" "1" 1175540
"19" 46710 "NC_041331.1" "1" 1313974
"20" 49213 "NC_041331.1" "1" 1314489
"21" 68843 "NC_041331.1" "1" 1316060
"22" 96522 "NC_041331.1" "1" 1346223
"23" 82156 "NC_041331.1" "1" 1346373
"24" 19381 "NC_041331.1" "1" 1402759
"25" 27803 "NC_041331.1" "1" 1674949
"26" 54724 "NC_041331.1" "1" 1774559
"27" 81718 "NC_041331.1" "1" 1781721
"28" 13921 "NC_041331.1" "1" 2021720
"29" 99901 "NC_041331.1" "1" 2022289
"30" 96000 "NC_041331.1" "1" 2048876
"31" 26389 "NC_041331.1" "1" 2112548
"32" 47635 "NC_041331.1" "1" 2133690
"33" 39478 "NC_041331.1" "1" 2156624
"34" 100294 "NC_041331.1" "1" 2387147
"35" 81029 "NC_041331.1" "1" 2707298
"36" 99117 "NC_041331.1" "1" 2800342
"37" 64114 "NC_041331.1" "1" 2801091
"38" 116317 "NC_041331.1" "1" 3975376
"39" 20940 "NC_041331.1" "1" 4093222
"40" 88611 "NC_041331.1" "1" 4093647
"41" 43343 "NC_041331.1" "1" 4179836
"42" 93510 "NC_041331.1" "1" 4200038
"43" 54023 "NC_041331.1" "1" 4286228
"44" 72230 "NC_041331.1" "1" 4315957
"45" 91603 "NC_041331.1" "1" 4405544
"46" 80867 "NC_041331.1" "1" 4411568
"47" 70114 "NC_041331.1" "1" 4682909
"48" 50149 "NC_041331.1" "1" 4706562
"49" 60697 "NC_041331.1" "1" 5109862
"50" 18230 "NC_041331.1" "1" 5134385
"51" 124 "NC_041331.1" "1" 5815631
"52" 72005 "NC_041331.1" "1" 6072834
"53" 96156 "NC_041331.1" "1" 6074928
"54" 40753 "NC_041331.1" "1" 6173196
"55" 58708 "NC_041331.1" "1" 6351506
"56" 29417 "NC_041331.1" "1" 6613312
"57" 10676 "NC_041331.1" "1" 6678474
"58" 75677 "NC_041331.1" "1" 6678891
"59" 7142 "NC_041331.1" "1" 6714376
"60" 5980 "NC_041331.1" "1" 7061593
"61" 2225 "NC_041331.1" "1" 7244462
"62" 99152 "NC_041331.1" "1" 7897622
"63" 4820 "NC_041331.1" "1" 7897998
"64" 58095 "NC_041331.1" "1" 7929232
"65" 49167 "NC_041331.1" "1" 7931017
"66" 6604 "NC_041331.1" "1" 7932705
"67" 11585 "NC_041331.1" "1" 8772989
"68" 11933 "NC_041331.1" "1" 8919971
"69" 57604 "NC_041331.1" "1" 9272169
"70" 47043 "NC_041331.1" "1" 9736454
"71" 33460 "NC_041331.1" "1" 10347690
"72" 83767 "NC_041331.1" "1" 10440996
"73" 75204 "NC_041331.1" "1" 10443933
"74" 94106 "NC_041331.1" "1" 10750358
"75" 22391 "NC_041331.1" "1" 10768694
"76" 83844 "NC_041331.1" "1" 10825663
"77" 58952 "NC_041331.1" "1" 10981541
"78" 82639 "NC_041331.1" "1" 11599565
"79" 41684 "NC_041331.1" "1" 11717080
"80" 39395 "NC_041331.1" "1" 12328032
"81" 72418 "NC_041331.1" "1" 13300055
"82" 21212 "NC_041331.1" "1" 13301036
"83" 4423 "NC_041331.1" "1" 13431972
"84" 29966 "NC_041331.1" "1" 13437191
"85" 65171 "NC_041331.1" "1" 13437698
"86" 11146 "NC_041331.1" "1" 13501543
"87" 48562 "NC_041331.1" "1" 13615147
"88" 85868 "NC_041331.1" "1" 13800217
"89" 99534 "NC_041331.1" "1" 13967076
"90" 29655 "NC_041331.1" "1" 14075272
"91" 21008 "NC_041331.1" "1" 14075791
"92" 20089 "NC_041331.1" "1" 14198882
"93" 45258 "NC_041331.1" "1" 14253413
"94" 98866 "NC_041331.1" "1" 14253569
"95" 39196 "NC_041331.1" "1" 14355517
"96" 12138 "NC_041331.1" "1" 14523343
"97" 58699 "NC_041331.1" "1" 14559642
"98" 14011 "NC_041331.1" "1" 14893058
"99" 72956 "NC_041331.1" "1" 14893310
"100" 26644 "NC_041331.1" "1" 14962285
"101" 27207 "NC_041331.1" "1" 15367749
"102" 22204 "NC_041331.1" "1" 15830073
"103" 44614 "NC_041331.1" "1" 15837320
"104" 29887 "NC_041331.1" "1" 16006389
"105" 85468 "NC_041331.1" "1" 16006833
"106" 9829 "NC_041331.1" "1" 16062726
"107" 88857 "NC_041331.1" "1" 16109709
"108" 38795 "NC_041331.1" "1" 16515007
"109" 82313 "NC_041331.1" "1" 16570024
"110" 44558 "NC_041331.1" "1" 16590409
"111" 71598 "NC_041331.1" "1" 16650141
"112" 86868 "NC_041331.1" "1" 16650673
"113" 57376 "NC_041331.1" "1" 16724392
"114" 91746 "NC_041331.1" "1" 16729642
"115" 23297 "NC_041331.1" "1" 16730159
"116" 86036 "NC_041331.1" "1" 17349547
"117" 31248 "NC_041331.1" "1" 17563353
"118" 98758 "NC_041331.1" "1" 17586758
"119" 38495 "NC_041331.1" "1" 17616859
"120" 81462 "NC_041331.1" "1" 17759373
"121" 84831 "NC_041331.1" "1" 17795000
"122" 62065 "NC_041331.1" "1" 17896548
"123" 104309 "NC_041331.1" "1" 17932305
"124" 6140 "NC_041331.1" "1" 17932906
"125" 58649 "NC_041331.1" "1" 17957626
"126" 89296 "NC_041331.1" "1" 18116499
"127" 53150 "NC_041331.1" "1" 18156588
"128" 100639 "NC_041331.1" "1" 18275942
"129" 97598 "NC_041331.1" "1" 18282842
"130" 43581 "NC_041331.1" "1" 18741575
"131" 103527 "NC_041331.1" "1" 18741865
"132" 4875 "NC_041331.1" "1" 19072434
"133" 75119 "NC_041331.1" "1" 19140455
"134" 23609 "NC_041331.1" "1" 19166498
"135" 150699 "NC_041331.1" "1" 19275596
"136" 71943 "NC_041331.1" "1" 19382280
"137" 2208 "NC_041331.1" "1" 19548963
"138" 40353 "NC_041331.1" "1" 19707340
"139" 25652 "NC_041331.1" "1" 19819372
"140" 58544 "NC_041331.1" "1" 20049344
"141" 11293 "NC_041331.1" "1" 20050676
"142" 38090 "NC_041331.1" "1" 20052466
"143" 77328 "NC_041331.1" "1" 20111956
"144" 52671 "NC_041331.1" "1" 20199388
"145" 58894 "NC_041331.1" "1" 20416499
