tag tag.pos Fstp
18377 351 -0.0018
67292 48 0.0185
74421 38 -0.0053
18336 181 0.0072
22517 255 0.0117
51316 334 0.0166
117596 64 -0.0073
64010 278 -0.004
109209 253 -0.0041
116064 41 -0.0039
54342 54 0.0293
32920 248 0.0176
69794 132 0.0051
105503 124 -0.0068
87016 277 -0.0053
4289 293 0.0043
195194 83 0.0154
202547 265 -0.0062
41838 146 5e-04
65376 280 -0.0054
73750 215 -0.0034
25467 214 0.0225
123087 67 0.0023
51735 247 0.0052
43460 102 0.0057
105156 203 -0.001
28497 240 -0.0063
52798 219 -0.0038
19790 42 0.0195
14469 172 -4e-04
48195 231 -0.0057
279185 214 -0.0014
38300 50 0.0081
91818 205 0.0028
91540 179 0.0026
18304 171 -0.0077
44931 135 0.0237
40757 243 -0.0089
268767 170 0.018
103458 268 0.0271
116789 215 0.0137
82892 206 -0.0026
125779 260 -0.0013
106945 309 0.0036
12069 55 -0.0048
296795 306 -0.0086
112259 94 0.0021
11198 257 -0.0132
109658 123 0.018
803 170 0.0073
85487 222 -0.0044
80723 144 -0.0123
88836 184 0.0305
1634 17 0.0164
183904 38 -0.0179
16657 269 -0.0067
44544 162 0.0028
23334 82 -0.0078
123501 257 -0.0045
7802 63 -0.0014
24085 108 5e-04
115315 300 -0.0037
181199 159 -0.0059
84627 242 -0.0113
55683 11 -0.0038
1478 263 -7e-04
216645 143 0.0141
117229 249 -0.0074
128579 111 -0.0106
52383 128 0.0185
35929 281 -0.0048
81657 103 0.0025
113504 89 0.0125
73690 353 -0.0079
74583 190 0.0069
9357 135 0.0136
234451 245 0.0233
102000 232 0.0083
111435 293 -0.0055
86363 303 -0.0014
22458 244 0.0048
98735 178 0.003
63981 29 0.0055
178903 108 0.0078
64129 74 0.0056
16402 135 -0.0066
12036 253 -0.0092
14331 143 -0.006
91165 41 -0.0032
14923 328 -0.0115
9444 218 -0.0065
180033 133 0.0204
10934 81 0.0028
36452 133 0.0135
67046 153 0.0026
41128 277 0.0025
12569 190 -0.0098
116855 326 0
69340 210 0.0216
116827 65 -0.0146
48087 93 -0.0059
33568 240 0.0074
89208 226 0.0052
29558 251 0.0048
110523 249 -0.0165
78005 275 -0.0106
