tag tag.pos Fstp
85795 185 -0.0034
1289 193 0.0474
5709 44 0.0581
73555 303 -0.0087
5540 200 0.0164
85152 175 0.0068
12725 181 0.0042
62283 208 0.0554
21108 39 0.0585
106423 206 0.0085
42992 370 0.0174
27716 16 0.0684
104504 81 0.079
25713 93 0.029
69150 349 -0.0038
27941 157 -0.0037
91182 226 0.003
12655 277 0.0367
46710 262 0.0104
49213 354 -0.0039
68843 68 0.0183
96522 115 0.181
82156 120 0.1728
19381 20 0.0025
27803 165 0.0869
54724 231 0.0459
81718 193 0.0796
13921 320 0.1791
99901 297 -0.0032
96000 76 0.0165
26389 268 0.0259
47635 89 0.0131
39478 133 0.0029
100294 168 0.0331
81029 248 0.009
99117 37 0.0103
64114 198 0.014
116317 87 -4e-04
20940 156 0.0633
88611 212 0.1264
43343 192 -0.003
93510 160 0.0279
54023 181 0.026
72230 159 0.0785
91603 186 0.0147
80867 9 0.0226
70114 297 0.0052
50149 53 0.0054
60697 142 0.0034
18230 297 0.0185
124 121 0.0088
72005 288 0.0099
96156 45 0.0136
40753 215 0.022
58708 210 0.0102
29417 41 0.0054
10676 113 0.0018
75677 327 0.0052
7142 269 0.051
5980 171 0.0145
2225 226 0.0018
99152 165 0.0062
4820 123 -0.0026
58095 230 -0.0057
49167 233 -0.0145
6604 295 -0.0088
11585 281 0.0071
11933 146 0.0334
57604 46 0.0423
47043 149 -0.0026
33460 282 0.0538
83767 54 0.0393
75204 326 -0.0068
94106 267 0.0103
22391 336 0.047
83844 97 0.0246
58952 40 0.0126
82639 149 0.0307
41684 146 0.0264
39395 159 0.0274
72418 131 0.0027
21212 217 0.0418
4423 216 -0.0122
29966 270 0.0294
65171 329 0.0196
11146 263 0.0057
48562 348 0.0031
85868 186 0.0393
99534 229 0.0393
29655 326 -0.0057
21008 328 0.0212
20089 164 0.044
45258 274 0.0069
98866 186 0.0184
39196 82 0.0585
12138 137 -0.0103
58699 41 0.0233
14011 311 0.0111
72956 88 0.0218
26644 277 0.0396
27207 155 0.0359
22204 187 0.0934
44614 331 -0.0017
29887 259 0.0307
85468 281 -0.0055
9829 120 0.0256
88857 85 0.002
38795 151 0.0242
82313 91 0.0145
44558 11 -0.0064
71598 220 -0.0075
86868 115 0.0492
57376 75 0.1474
91746 85 0.1418
23297 86 0.1412
86036 243 0.029
31248 331 0.0191
98758 278 0.0433
38495 68 0.0351
81462 48 -0.0081
84831 320 -0.0045
62065 309 0.1324
104309 229 -0.0033
6140 259 0.0445
58649 44 0.0055
89296 238 0.1065
53150 324 0.0356
100639 382 -0.0124
97598 148 0.0166
43581 229 4e-04
103527 262 0.0026
4875 319 0.0011
75119 239 0.0046
23609 49 -0.0108
150699 282 0.0311
71943 137 0.1712
2208 38 0.0882
40353 278 0.0046
25652 214 0.1451
58544 92 0.0091
11293 198 0.031
38090 132 0.052
77328 78 0.0519
52671 171 0.0385
58894 236 0.0437
74873 213 0.0084
97839 224 -0.0049
41652 214 0.0141
68104 60 -0.0036
105273 268 -0.0046
91069 182 0.0705
98232 381 0.0201
55706 105 0.1326
75174 227 1e-04
65164 300 0.0437
12628 348 0.0042
34079 152 0.1269
40695 358 -0.0033
37852 141 0.0035
57423 249 0.0498
9114 186 5e-04
44748 180 -0.0122
19773 248 0.0113
101604 228 0.1047
11959 367 0.006
41937 46 0.0031
82474 291 0.0144
59697 284 0.0197
57857 237 0.0296
104922 50 0.124
94521 248 0.0039
58439 9 0.0246
57540 271 0.0061
5291 149 -0.0066
54883 247 0.0268
74513 142 0.0067
67948 287 0.0072
18801 202 0.0609
20477 40 0.0246
49733 215 0.0242
63502 273 0.0089
55815 94 0.0564
21418 49 0.0264
365 17 0.0705
97254 20 0.0303
137587 194 0.0388
89873 229 0.0817
80573 61 0.067
39785 106 0.043
68936 151 0.014
35761 351 0.0195
6156 207 0.0341
41829 24 0.0033
89914 366 0
569 76 0.0247
82163 181 0.0248
81680 313 0.0249
47075 217 0.0245
60147 11 0.0415
50202 367 -0.0034
25679 174 0.0098
26526 25 0.0236
71473 208 -0.0074
64097 253 0.0139
82160 192 0.0054
69569 347 -0.0027
45622 160 0.0719
91887 186 0.0099
46944 127 0.0205
47594 281 -2e-04
1702 317 0.0022
3063 35 0.0661
102489 130 0.0682
59335 159 0.0576
13825 314 -0.0097
11907 198 0.0055
92204 273 0.3263
73341 276 -0.0022
15770 292 0.0793
96730 213 0.2715
48238 54 0.013
97756 154 0.0464
50874 107 0.0483
102435 335 0.0043
16142 273 0.083
28803 19 -0.002
71489 227 0.0151
6288 132 0.0047
30521 109 -4e-04
34193 166 -0.0019
104016 264 0.0244
41748 72 -0.0098
89230 40 0.1092
12455 208 -0.0105
66685 60 0.0281
69911 359 -0.0013
31937 175 0.0234
96710 114 0.0114
16667 104 0.0247
91314 101 0.0017
2496 145 0.0022
93440 277 -0.0043
138347 127 0.018
55377 345 0.0021
138228 43 0.3069
32839 155 0.0435
66594 209 0.091
58076 164 0.0066
25319 161 0
71501 77 0.0307
103447 190 -5e-04
23059 189 0.0077
25710 205 0.0086
90064 102 0.1002
78949 128 0.0426
9535 108 0.0188
17835 55 0.0985
39288 69 0.0841
28169 181 0.0135
21416 119 0.0173
33919 44 0.0229
29129 302 0.0565
2136 79 0.0263
61088 115 0.0292
9068 211 0.0055
84139 268 -0.0137
39897 301 0.062
9620 288 0.026
73021 303 0.0105
125065 104 0.0164
2315 12 0.0244
98374 327 -0.0062
101259 190 -0.0026
42611 188 0.035
6523 222 0.002
120747 258 0.0087
4359 217 0.0604
95480 165 0.0157
20566 11 0.0193
47959 45 0.0148
39265 52 -0.003
67782 182 0.0604
17530 236 0.0585
68109 303 0.0272
96115 379 0.0058
28404 36 -0.0087
77758 268 0.0019
99554 13 0.0073
104220 144 0.0049
69192 13 0.0527
36807 76 0.009
71664 306 0.0061
38696 21 0.0186
89286 61 0.0485
32143 228 0.0407
11107 198 0.0132
15607 358 -0.0015
88209 213 0.025
14955 275 0.2276
55703 174 0.0044
64340 317 0.0506
78950 356 -0.0058
46265 151 0.0362
59948 143 0.0889
28986 199 0.1232
98371 171 0.0325
69057 34 0.0756
60022 362 0.0202
28754 218 0.0424
66963 200 0.0641
38838 196 0.061
75933 117 0.0054
43821 362 0.0193
93794 102 0.0136
20553 232 0.0427
13371 245 0.0239
79423 311 0.0539
31254 103 -0.0018
79146 358 -0.0037
76478 113 0.0392
87833 62 0.0704
92565 175 0.0644
20987 49 0.0254
26774 196 0.0293
40519 216 0.046
72127 299 -0.0078
97614 378 -0.0056
133266 56 0.0076
31457 316 0.029
17460 124 0.0111
97868 207 0.001
39074 48 0.0185
108687 254 0.1009
46214 161 0.1871
39293 143 -0.0026
90959 232 5e-04
13444 209 0.0326
59766 199 0.0783
64967 204 0.024
40373 237 0.0493
92792 267 -0.0129
69011 173 -0.0058
64047 25 0.0227
97033 91 0.0318
70058 358 -0.007
89447 305 7e-04
12734 47 -9e-04
87742 107 0.0319
13366 135 -0.0032
104644 361 0.0037
98804 75 0.0241
106436 45 0.0048
31138 174 0.0185
25696 273 0.0261
