"tag" "reference" "chr" "chr.pos"
"1" 46227 "NC_007112.7" "1" 161340
"2" 61574 "NC_007112.7" "1" 464820
"3" 142954 "NC_007112.7" "1" 496848
"4" 18690 "NC_007112.7" "1" 1012085
"5" 25968 "NC_007112.7" "1" 2025136
"6" 170910 "NC_007112.7" "1" 2128957
"7" 35411 "NC_007112.7" "1" 2129456
"8" 5475 "NC_007112.7" "1" 2586830
"9" 47922 "NC_007112.7" "1" 2687180
"10" 42929 "NC_007112.7" "1" 2785971
"11" 62857 "NC_007112.7" "1" 3472172
"12" 62388 "NC_007112.7" "1" 3533785
"13" 14241 "NC_007112.7" "1" 4231220
"14" 2017 "NC_007112.7" "1" 4504613
"15" 27141 "NC_007112.7" "1" 4582184
"16" 110492 "NC_007112.7" "1" 5454972
"17" 58144 "NC_007112.7" "1" 5495145
"18" 31335 "NC_007112.7" "1" 6048158
"19" 18129 "NC_007112.7" "1" 6137837
"20" 45443 "NC_007112.7" "1" 6146642
"21" 42623 "NC_007112.7" "1" 6404212
"22" 6135 "NC_007112.7" "1" 6561501
"23" 48681 "NC_007112.7" "1" 6690351
"24" 27762 "NC_007112.7" "1" 6852754
"25" 8874 "NC_007112.7" "1" 6853332
"26" 47874 "NC_007112.7" "1" 6943150
"27" 9530 "NC_007112.7" "1" 6964106
"28" 53027 "NC_007112.7" "1" 7140017
"29" 44254 "NC_007112.7" "1" 7254660
"30" 35410 "NC_007112.7" "1" 7662634
"31" 9532 "NC_007112.7" "1" 8529808
"32" 55874 "NC_007112.7" "1" 9054853
"33" 8685 "NC_007112.7" "1" 9054853
"34" 42380 "NC_007112.7" "1" 9348324
"35" 57246 "NC_007112.7" "1" 9432712
"36" 63907 "NC_007112.7" "1" 9874885
"37" 56499 "NC_007112.7" "1" 9877294
"38" 12654 "NC_007112.7" "1" 10118622
"39" 25047 "NC_007112.7" "1" 10152742
"40" 63006 "NC_007112.7" "1" 11140939
"41" 48283 "NC_007112.7" "1" 11515822
"42" 55359 "NC_007112.7" "1" 11518128
