"tag" "reference" "chr" "chr.pos"
"1" 27133 "NC_007112.7" "1" 161340
"2" 44101 "NC_007112.7" "1" 496848
"3" 15138 "NC_007112.7" "1" 1012085
"4" 9171 "NC_007112.7" "1" 1363773
"5" 21987 "NC_007112.7" "1" 2025109
"6" 41318 "NC_007112.7" "1" 2025856
"7" 36797 "NC_007112.7" "1" 2128957
"8" 19339 "NC_007112.7" "1" 2129456
"9" 14406 "NC_007112.7" "1" 2577756
"10" 17768 "NC_007112.7" "1" 2687184
"11" 17437 "NC_007112.7" "1" 3472172
"12" 43194 "NC_007112.7" "1" 4504613
"13" 37573 "NC_007112.7" "1" 4504915
"14" 31193 "NC_007112.7" "1" 4756079
"15" 14014 "NC_007112.7" "1" 5094632
"16" 41524 "NC_007112.7" "1" 5454972
"17" 25531 "NC_007112.7" "1" 5751984
"18" 45250 "NC_007112.7" "1" 6137837
"19" 38037 "NC_007112.7" "1" 6404226
"20" 13678 "NC_007112.7" "1" 6561501
"21" 43737 "NC_007112.7" "1" 6690560
"22" 30370 "NC_007112.7" "1" 9054853
"23" 16991 "NC_007112.7" "1" 9348324
"24" 59828 "NC_007112.7" "1" 9432712
"25" 44313 "NC_007112.7" "1" 9474185
"26" 27506 "NC_007112.7" "1" 9489121
"27" 36033 "NC_007112.7" "1" 11498959
"28" 31198 "NC_007112.7" "1" 11518170
"29" 16894 "NC_007112.7" "1" 12314750
"30" 33026 "NC_007112.7" "1" 12752686
"31" 5658 "NC_007112.7" "1" 12924521
"32" 31745 "NC_007112.7" "1" 13152203
"33" 35122 "NC_007112.7" "1" 13245259
"34" 7659 "NC_007112.7" "1" 15406145
"35" 31974 "NC_007112.7" "1" 15817204
"36" 14951 "NC_007112.7" "1" 15859631
"37" 39977 "NC_007112.7" "1" 15955682
"38" 20533 "NC_007112.7" "1" 15956173
"39" 75208 "NC_007112.7" "1" 18816030
"40" 25854 "NC_007112.7" "1" 21889964
"41" 1184 "NC_007112.7" "1" 24049959
"42" 13857 "NC_007112.7" "1" 26274498
"43" 54079 "NC_007112.7" "1" 26660349
"44" 51595 "NC_007112.7" "1" 26668920
"45" 23531 "NC_007112.7" "1" 27799381
"46" 32444 "NC_007112.7" "1" 28081351
"47" 22788 "NC_007112.7" "1" 28361828
"48" 29305 "NC_007112.7" "1" 31878019
"49" 14424 "NC_007112.7" "1" 33095814
"50" 37296 "NC_007112.7" "1" 33847300
"51" 43286 "NC_007112.7" "1" 35213906
"52" 838 "NC_007112.7" "1" 36878270
"53" 36128 "NC_007112.7" "1" 37375492
"54" 9629 "NC_007112.7" "1" 37399378
"55" 35221 "NC_007112.7" "1" 37399732
"56" 17268 "NC_007112.7" "1" 37686929
"57" 52089 "NC_007112.7" "1" 39574813
"58" 21355 "NC_007112.7" "1" 39589170
"59" 28911 "NC_007112.7" "1" 39786355
"60" 18397 "NC_007112.7" "1" 40293783
"61" 48196 "NC_007112.7" "1" 40410848
"62" 47346 "NC_007112.7" "1" 41456433
"63" 14493 "NC_007112.7" "1" 42430330
"64" 28811 "NC_007112.7" "1" 42430849
"65" 14467 "NC_007112.7" "1" 42777318
"66" 17810 "NC_007112.7" "1" 43811355
"67" 26931 "NC_007112.7" "1" 43814127
"68" 51367 "NC_007112.7" "1" 44492601
"69" 25564 "NC_007112.7" "1" 45211166
"70" 29965 "NC_007112.7" "1" 45211903
"71" 18533 "NC_007112.7" "1" 46673266
"72" 44571 "NC_007112.7" "1" 46673541
"73" 53100 "NC_007112.7" "1" 47908675
"74" 28087 "NC_007112.7" "1" 48171653
"75" 6158 "NC_007112.7" "1" 48215734
"76" 16830 "NC_007112.7" "1" 48889278
"77" 16288 "NC_007112.7" "1" 49291608
"78" 50685 "NC_007112.7" "1" 49291672
"79" 40866 "NC_007112.7" "1" 49620039
"80" 50131 "NC_007112.7" "1" 49639225
"81" 3274 "NC_007112.7" "1" 50015858
"82" 51300 "NC_007112.7" "1" 50392888
"83" 24002 "NC_007112.7" "1" 50521779
"84" 2509 "NC_007112.7" "1" 51160283
"85" 2720 "NC_007112.7" "1" 51507451
"86" 21894 "NC_007112.7" "1" 51876768
"87" 52762 "NC_007112.7" "1" 52113229
"88" 42767 "NC_007112.7" "1" 52124126
"89" 32823 "NC_007112.7" "1" 52292803
"90" 5366 "NC_007112.7" "1" 52598431
"91" 830 "NC_007112.7" "1" 52599107
"92" 26041 "NC_007112.7" "1" 52647308
"93" 29222 "NC_007112.7" "1" 52676446
"94" 21133 "NC_007112.7" "1" 52838403
"95" 25301 "NC_007112.7" "1" 52911684
"96" 28234 "NC_007112.7" "1" 53081672
"97" 46610 "NC_007112.7" "1" 53126481
"98" 47702 "NC_007112.7" "1" 53279814
"99" 13104 "NC_007112.7" "1" 53280056
"100" 34934 "NC_007112.7" "1" 53377435
"101" 71356 "NC_007112.7" "1" 53717014
"102" 25348 "NC_007112.7" "1" 53724906
"103" 54343 "NC_007112.7" "1" 53916907
"104" 35002 "NC_007112.7" "1" 54137104
"105" 4603 "NC_007112.7" "1" 54700621
"106" 24939 "NC_007112.7" "1" 55037490
"107" 1074 "NC_007112.7" "1" 55885122
"108" 41117 "NC_007112.7" "1" 56217994
"109" 20440 "NC_007112.7" "1" 57971423
"110" 38892 "NC_007112.7" "1" 58524758
"111" 26009 "NC_007112.7" "1" 58769801
"112" 50530 "NC_007112.7" "1" 58868203
"113" 38342 "NC_007112.7" "1" 59225646
"114" 20567 "NC_007112.7" "1" 59226029
"115" 51963 "NC_007112.7" "1" 59309864
"116" 6057 "NC_007112.7" "1" 59358711
"117" 51509 "NC_007113.7" "2" 101161
"118" 45293 "NC_007113.7" "2" 105838
"119" 14373 "NC_007113.7" "2" 279470
"120" 12207 "NC_007113.7" "2" 556468
"121" 38911 "NC_007113.7" "2" 750806
"122" 53156 "NC_007113.7" "2" 751019
"123" 50609 "NC_007113.7" "2" 1463475
"124" 13129 "NC_007113.7" "2" 1942772
"125" 21531 "NC_007113.7" "2" 2011060
"126" 52108 "NC_007113.7" "2" 2782638
"127" 18313 "NC_007113.7" "2" 2782695
"128" 29122 "NC_007113.7" "2" 4100958
"129" 9045 "NC_007113.7" "2" 4277375
"130" 4016 "NC_007113.7" "2" 4737385
"131" 44576 "NC_007113.7" "2" 4747912
"132" 1244 "NC_007113.7" "2" 5422582
"133" 19705 "NC_007113.7" "2" 6191758
