tag tag.pos Fstp
46227 203 0.0088
61574 351 0.0055
142954 327 -0.016
18690 211 0.0201
25968 282 0.0028
170910 38 -0.0121
35411 137 0.0209
5475 89 -0.0062
47922 12 -0.0021
42929 141 -0.0111
62857 240 -0.006
62388 256 -0.0106
14241 159 0.0387
2017 271 -0.0077
27141 281 -3e-04
110492 15 -0.0091
58144 135 9e-04
31335 212 -0.0048
18129 307 -0.0129
45443 102 -0.0083
42623 105 -0.0073
6135 136 -0.016
48681 85 0.0029
27762 85 -0.01
8874 70 -0.0052
47874 210 -0.0126
9530 148 -0.0115
53027 126 -0.0073
44254 216 -0.0084
35410 267 0.0239
9532 165 0.0379
55874 258 0.0495
8685 81 0.0083
42380 311 -0.0212
57246 266 8e-04
63907 71 -0.0038
56499 30 -0.012
12654 122 0.0017
25047 19 0.0016
63006 120 -0.0149
48283 232 0.0314
55359 87 -0.013
9799 29 0.0126
84952 156 -0.0045
61020 62 -0.0262
54271 7 -0.0127
60510 123 -0.0031
34132 179 0.0048
32613 276 -0.013
26929 52 0.025
12660 27 0.0118
49639 143 0.0258
10778 218 -0.0052
14225 319 0.0383
5697 54 -0.0096
61448 12 0.0081
8161 44 0.0138
27137 303 0.0036
9172 39 -0.0164
11002 313 0.0189
58350 32 -0.0026
9431 117 0.0248
33513 62 -0.0041
26684 128 -0.0036
96228 204 -0.008
848 192 -0.0202
22965 260 -0.0189
36196 153 0.0379
28132 50 -0.0057
16631 69 -0.0167
16132 110 0.0075
6054 54 -0.0182
79516 28 -0.025
27990 113 -0.0042
55802 274 0.0029
49381 11 -0.003
33595 166 -0.0179
19930 154 -0.0137
16173 273 0.0288
55933 180 0.006
36208 289 -0.0068
63015 133 -0.0056
40215 292 -0.019
53358 124 -8e-04
35129 12 -0.0137
19700 65 -0.0035
53976 59 -0.0136
55080 306 0.002
38757 168 0.0012
58301 273 -0.023
126805 176 -0.0147
61778 235 1e-04
14750 184 0.0413
64520 20 -0.0166
25190 13 -0.0166
25729 26 0.0169
62148 273 0.0318
44093 191 0.0081
39121 260 -0.0042
53985 68 -0.0156
23702 112 -0.0257
9374 88 -0.0045
3914 283 0.004
55190 288 0.0391
40709 239 2e-04
36707 305 -0.0084
45009 152 -0.0113
29124 214 -0.0051
15873 46 0.0024
87115 114 0.0032
63392 146 0.0055
21149 79 -0.004
18903 304 -0.0222
90121 164 -0.0103
53072 106 -0.0136
53033 207 -0.0166
10495 276 0.0087
34385 168 0.0201
54352 252 0.0071
86055 125 -0.0169
87053 134 -0.0097
99624 185 0.0167
13751 248 -0.0105
30783 134 0.013
50947 82 -0.0341
52580 52 -0.01
14538 209 0.0138
50917 319 -0.0073
59796 84 0.0311
7742 257 0.0072
49689 125 -0.0061
59016 54 0.0087
32872 178 -0.0166
30234 60 -0.0044
142 99 0.0014
58407 267 0.014
59389 124 -0.0151
32388 279 0.0088
22730 164 0.0297
1775 193 -0.0115
47987 283 -0.0104
3477 90 -0.0078
25008 283 0.0121
20745 335 -0.0185
32823 316 0.0168
65116 221 -0.0014
56584 284 0.0203
29242 160 0.0066
1589 244 -0.012
32756 216 0.0428
13769 11 0.01
58942 288 -0.0161
36787 248 0.0155
31241 227 0.0087
59039 327 0.0436
55264 141 -0.0096
21299 225 0.0175
60888 146 0.0113
12630 253 -0.003
44512 185 -0.0012
43105 232 -0.006
48768 203 0.0411
66341 220 -0.0036
2685 208 -0.0111
10137 197 -0.0087
22395 158 0.0206
1943 61 -0.0196
54418 270 -7e-04
63314 155 -0.0083
21300 34 0.0214
27218 15 -0.0043
99896 202 -0.003
